InstanceId,PredictedClassProbability,ActualClassLabel,Size
0,5.621451458766654E-5,NO,22
1,3.279333639404473E-5,NO,44
2,5.621451458766654E-5,NO,34
3,3.932363350373575E-4,NO,19
4,3.027092477675193E-5,NO,8
5,1.3117850771329625E-5,NO,7
6,5.621451458766654E-5,NO,326
7,0.9996067636649627,NO,1152
8,5.873749625548461E-6,NO,5
9,4.9188391539596654E-5,NO,16
10,3.935148748622698E-5,NO,11
11,1.3114754098360654E-4,NO,143
12,9.5984949559909E-6,NO,4
13,3.932363350373575E-4,NO,139
14,3.577433549171824E-5,NO,16
15,1.3114754098360654E-4,NO,40
16,4.9188391539596654E-5,NO,16
17,7.869678130164477E-5,NO,169
18,7.869678130164477E-5,NO,168
19,9.836710603974032E-5,NO,261
20,1.3114754098360654E-4,NO,275
21,5.621451458766654E-5,NO,97
22,6.558237145855194E-5,NO,12
23,3.577433549171824E-5,NO,53
24,3.577433549171824E-5,NO,35
25,3.577433549171824E-5,NO,18
26,3.577433549171824E-5,NO,13
27,6.558237145855194E-5,NO,9
28,0.200047218068781,NO,50
29,3.935148748622698E-5,NO,6
30,5.873749625548461E-6,NO,5
31,3.932363350373575E-4,NO,728
32,3.932363350373575E-4,NO,261
33,3.932363350373575E-4,NO,140
34,9.5984949559909E-6,NO,4
35,9.5984949559909E-6,NO,4
36,5.873749625548461E-6,NO,5
37,3.932363350373575E-4,NO,120
38,5.873749625548461E-6,NO,5
39,7.869678130164477E-5,NO,346
40,9.836710603974032E-5,NO,652
41,7.869678130164477E-5,NO,68
42,7.869678130164477E-5,NO,363
43,7.869678130164477E-5,NO,126
44,1.1243914231422243E-5,NO,7
45,1.1243914231422243E-5,NO,7
46,4.9188391539596654E-5,NO,31
47,7.869678130164477E-5,NO,94
48,0.10003148118998899,NO,154
49,7.869678130164477E-5,NO,75
50,7.869678130164477E-5,NO,40
51,7.869678130164477E-5,NO,84
52,3.932363350373575E-4,NO,582
53,1.3114754098360654E-4,NO,213
54,7.869678130164477E-5,NO,49
55,2.810883741848437E-5,NO,36
56,7.869678130164477E-5,NO,144
57,3.932363350373575E-4,NO,193
58,7.869678130164477E-5,NO,152
59,3.932363350373575E-4,NO,59
60,3.577433549171824E-5,NO,98
61,9.836710603974032E-5,NO,363
62,2.3148683997314753E-5,NO,44
63,0.5,NO,360
64,3.577433549171824E-5,NO,82
65,1.0931590109097269E-5,NO,10
66,0.2500491835530199,NO,393
67,9.836710603974032E-5,NO,101
68,4.3723492632591494E-5,NO,76
69,1.0931590109097269E-5,NO,10
70,1.269470503852843E-5,NO,12
71,1.269470503852843E-5,NO,12
72,3.932363350373575E-4,NO,210
73,3.932363350373575E-4,NO,40
74,1.6397205916111892E-5,NO,30
75,1.966955153422502E-4,NO,75
76,3.932363350373575E-4,NO,30
77,3.935148748622698E-5,NO,11
78,9.5984949559909E-6,NO,4
79,3.577433549171824E-5,NO,27
80,0.058843954721174103,NO,15
81,7.869678130164477E-5,NO,52
82,7.869678130164477E-5,NO,70
83,3.932363350373575E-4,NO,81
84,5.621451458766654E-5,NO,119
85,1.966955153422502E-4,NO,55
86,4.9188391539596654E-5,NO,14
87,1.966955153422502E-4,NO,506
88,1.3114754098360654E-4,NO,82
89,5.873749625548461E-6,NO,5
90,3.279333639404473E-5,NO,45
91,3.027092477675193E-5,NO,54
92,7.869678130164477E-5,NO,51
93,7.869678130164477E-5,NO,79
94,7.869678130164477E-5,NO,26
95,3.577433549171824E-5,NO,27
96,1.3114754098360654E-4,NO,114
97,3.932363350373575E-4,NO,334
98,5.621451458766654E-5,NO,111
99,9.836710603974032E-5,NO,95
100,1.0931590109097269E-5,NO,10
101,0.9996067636649627,NO,385
102,1.966955153422502E-4,NO,182
103,1.711010351612627E-5,NO,30
104,6.558237145855194E-5,NO,68
105,1.3114754098360654E-4,NO,324
106,1.1243914231422243E-5,NO,7
107,1.3114754098360654E-4,NO,101
108,7.869678130164477E-5,NO,80
109,1.3114754098360654E-4,NO,47
110,1.3114754098360654E-4,NO,63
111,7.869678130164477E-5,NO,40
112,0.2500491835530199,NO,48
113,7.869678130164477E-5,NO,34
114,1.3114754098360654E-4,NO,112
115,0.666622950819672,NO,72
116,3.577433549171824E-5,NO,27
117,5.621451458766654E-5,NO,165
118,4.3723492632591494E-5,NO,28
119,5.621451458766654E-5,NO,19
120,5.621451458766654E-5,NO,161
121,3.935148748622698E-5,NO,20
122,7.869678130164477E-5,NO,194
123,3.577433549171824E-5,NO,38
124,5.621451458766654E-5,NO,212
125,5.621451458766654E-5,NO,45
126,5.621451458766654E-5,NO,107
127,3.935148748622698E-5,NO,11
128,5.621451458766654E-5,NO,22
129,5.621451458766654E-5,NO,126
130,7.869678130164477E-5,NO,191
131,5.621451458766654E-5,NO,198
132,5.621451458766654E-5,NO,65
133,7.869678130164477E-5,NO,265
134,2.3148683997314753E-5,NO,44
135,5.621451458766654E-5,NO,139
136,4.3723492632591494E-5,NO,29
137,9.836710603974032E-5,NO,66
138,5.621451458766654E-5,NO,6
139,1.711010351612627E-5,NO,30
140,1.3114754098360654E-4,NO,115
141,5.873749625548461E-6,NO,5
142,5.621451458766654E-5,NO,23
143,3.935148748622698E-5,NO,20
144,1.3114754098360654E-4,NO,78
145,7.869678130164477E-5,NO,54
146,1.3114754098360654E-4,NO,27
147,9.836710603974032E-5,NO,91
148,1.3114754098360654E-4,NO,94
149,5.621451458766654E-5,NO,75
150,5.873749625548461E-6,NO,5
151,7.869678130164477E-5,NO,26
152,4.9188391539596654E-5,NO,30
153,5.621451458766654E-5,NO,32
154,1.3114754098360654E-4,NO,57
155,5.621451458766654E-5,NO,31
156,1.3114754098360654E-4,NO,41
157,0.33337704918032784,NO,441
158,6.558237145855194E-5,NO,19
159,6.558237145855194E-5,NO,193
160,4.9188391539596654E-5,NO,11
161,1.269470503852843E-5,NO,12
162,5.621451458766654E-5,NO,31
