InstanceId,PredictedClassProbability,ActualClassLabel,Size
0,3.6082846214909435E-5,NO,8
1,2.3093621541730173E-5,NO,7
2,1.9238168526356292E-4,NO,320
3,0.9994232987312572,NO,1034
4,2.5101661730006527E-5,NO,5
5,1.1544677903486493E-4,NO,16
6,3.6082846214909435E-5,NO,36
7,1.9238168526356292E-4,NO,14
8,5.767012687427913E-4,NO,121
9,5.767012687427913E-4,NO,235
10,5.767012687427913E-4,NO,248
11,0.9994232987312572,NO,97
12,1.443001443001443E-4,NO,53
13,1.443001443001443E-4,NO,35
14,6.414368184733804E-5,NO,13
15,3.6082846214909435E-5,NO,8
16,2.8851702250432774E-4,NO,6
17,2.5101661730006527E-5,NO,5
18,0.9994232987312572,NO,438
19,0.9994232987312572,NO,269
20,0.9994232987312572,NO,142
21,1.9238168526356292E-4,NO,4
22,4.8109304339459256E-5,NO,4
23,2.5101661730006527E-5,NO,5
24,0.9994232987312572,NO,46
25,1.1544677903486493E-4,NO,29
26,2.8851702250432774E-4,NO,5
27,5.767012687427913E-4,NO,250
28,1.9238168526356292E-4,NO,648
29,1.9238168526356292E-4,NO,178
30,1.443001443001443E-4,NO,418
31,5.767012687427913E-4,NO,7
32,2.3093621541730173E-5,NO,7
33,1.1544677903486493E-4,NO,32
34,1.9238168526356292E-4,NO,76
35,1.9238168526356292E-4,NO,154
36,3.6082846214909435E-5,NO,36
37,1.9238168526356292E-4,NO,363
38,1.9238168526356292E-4,NO,194
39,9.620935154897056E-5,NO,47
40,3.6082846214909435E-5,NO,36
41,1.9238168526356292E-4,NO,126
42,5.767012687427913E-4,NO,185
43,1.1544677903486493E-4,NO,149
44,1.9238168526356292E-4,NO,58
45,1.9238168526356292E-4,NO,98
46,5.767012687427913E-4,NO,352
47,1.9238168526356292E-4,NO,44
48,1.9238168526356292E-4,NO,358
49,1.9238168526356292E-4,NO,82
50,0.11116100064143683,NO,15
51,9.620935154897056E-5,NO,50
52,0.9994232987312572,NO,68
53,5.767012687427913E-4,NO,45
54,9.620935154897056E-5,NO,54
55,0.9994232987312572,NO,26
56,1.9238168526356292E-4,NO,75
57,6.414368184733804E-5,NO,27
58,0.9994232987312572,NO,109
59,5.767012687427913E-4,NO,191
60,5.767012687427913E-4,NO,111
61,5.767012687427913E-4,NO,84
62,5.767012687427913E-4,NO,10
63,5.767012687427913E-4,NO,183
64,5.767012687427913E-4,NO,163
65,5.2482418389839406E-5,NO,30
66,2.8851702250432774E-4,NO,7
67,5.767012687427913E-4,NO,73
68,5.767012687427913E-4,NO,77
69,9.620935154897056E-5,NO,23
70,6.414368184733804E-5,NO,27
71,5.767012687427913E-4,NO,165
72,5.767012687427913E-4,NO,28
73,0.9994232987312572,NO,19
74,5.767012687427913E-4,NO,161
75,5.767012687427913E-4,NO,20
76,0.9994232987312572,NO,191
77,1.9238168526356292E-4,NO,38
78,5.767012687427913E-4,NO,212
79,0.9994232987312572,NO,45
80,5.767012687427913E-4,NO,107
81,0.9994232987312572,NO,11
82,2.8851702250432774E-4,NO,22
83,5.767012687427913E-4,NO,126
84,0.9994232987312572,NO,190
85,5.767012687427913E-4,NO,198
86,0.9994232987312572,NO,65
87,5.767012687427913E-4,NO,248
88,0.9994232987312572,NO,28
89,0.9994232987312572,NO,139
90,2.8851702250432774E-4,NO,6
91,5.2482418389839406E-5,NO,30
92,5.767012687427913E-4,NO,86
93,1.9238168526356292E-4,NO,4
94,5.767012687427913E-4,NO,23
95,5.767012687427913E-4,NO,11
96,0.9994232987312572,NO,61
97,5.767012687427913E-4,NO,47
98,0.9994232987312572,NO,18
99,5.767012687427913E-4,NO,85
100,5.767012687427913E-4,NO,75
101,1.9238168526356292E-4,NO,4
102,5.767012687427913E-4,NO,25
103,5.2482418389839406E-5,NO,30
104,5.767012687427913E-4,NO,32
105,2.8851702250432774E-4,NO,52
106,5.767012687427913E-4,NO,31
107,2.8851702250432774E-4,NO,36
108,0.9994232987312572,NO,372
109,2.8851702250432774E-4,NO,12
110,2.8851702250432774E-4,NO,31
111,5.767012687427913E-4,NO,104
112,5.767012687427913E-4,NO,33
113,2.8851702250432774E-4,NO,53
114,2.8851702250432774E-4,NO,55
115,2.8851702250432774E-4,NO,48
116,5.767012687427913E-4,NO,66
117,5.767012687427913E-4,NO,30
118,5.767012687427913E-4,NO,50
119,5.767012687427913E-4,NO,53
120,5.767012687427913E-4,NO,89
121,9.620935154897056E-5,NO,49
122,5.7730054266251016E-5,NO,10
123,0.9994232987312572,NO,351
124,5.767012687427913E-4,NO,116
125,0.9994232987312572,NO,85
126,9.620935154897056E-5,NO,43
127,0.9994232987312572,NO,31
128,5.7730054266251016E-5,NO,10
129,7.216048491845866E-5,NO,12
130,7.216048491845866E-5,NO,12
131,8.246742536698004E-5,NO,46
132,3.6082846214909435E-5,NO,8
133,0.9994232987312572,NO,348
134,0.9994232987312572,NO,153
135,0.9994232987312572,NO,59
136,5.767012687427913E-4,NO,28
137,1.9238168526356292E-4,NO,18
138,2.3093621541730173E-5,NO,7
139,4.8109304339459256E-5,NO,4
140,6.414368184733804E-5,NO,27
141,5.767012687427913E-4,NO,72
142,5.767012687427913E-4,NO,71
143,9.620935154897056E-5,NO,62
144,5.2482418389839406E-5,NO,30
145,9.620935154897056E-5,NO,49
146,1.9238168526356292E-4,NO,69
147,5.767012687427913E-4,NO,62
148,5.767012687427913E-4,NO,47
149,5.767012687427913E-4,NO,53
150,0.9994232987312572,NO,65
151,5.767012687427913E-4,NO,136
152,1.9238168526356292E-4,NO,91
153,5.767012687427913E-4,NO,56
154,1.1544677903486493E-4,NO,9
155,0.9994232987312572,NO,77
156,5.767012687427913E-4,NO,74
157,5.767012687427913E-4,NO,119
158,5.767012687427913E-4,NO,90
159,8.246742536698004E-5,NO,46
160,5.767012687427913E-4,NO,30
