InstanceId,Size,PredictedClassProbability,ActualClassLabel
0,50,8.428385501610716E-5,50
1,79,5.3638468360715896E-5,79
2,67,1.966181370787592E-4,67
3,45,5.893908714956188E-4,45
4,28,1.6390753075344076E-5,28
5,28,1.6390753075344076E-5,28
6,459,8.428385501610716E-5,459
7,1472,0.9999409983177551,1472
8,25,2.034698074757466E-5,25
9,39,3.105525284563315E-5,39
10,47,0.8695462552835126,47
11,184,1.966181370787592E-4,184
12,30,5.900168224481422E-5,30
13,220,5.893908714956188E-4,220
14,50,5.3638468360715896E-5,50
15,82,1.966181370787592E-4,82
16,41,1.4747810124383264E-4,41
17,245,1.1798944133857628E-4,245
18,227,1.1798944133857628E-4,227
19,363,1.4747810124383264E-4,363
20,407,1.966181370787592E-4,407
21,145,8.428385501610716E-5,145
22,49,9.832840168654112E-5,49
23,85,5.3638468360715896E-5,85
24,64,5.3638468360715896E-5,64
25,42,6.555656517254305E-5,42
26,36,5.3638468360715896E-5,36
27,37,1.1798944133857628E-4,37
28,83,1.966181370787592E-4,83
29,32,7.374992712113499E-5,32
30,26,3.470855838440022E-5,26
31,895,5.893908714956188E-4,895
32,376,5.893908714956188E-4,376
33,213,5.893908714956188E-4,213
34,24,2.4585726634441672E-5,24
35,24,2.4585726634441672E-5,24
36,27,2.682067280016735E-5,27
37,260,5.893908714956188E-4,260
38,30,5.900168224481422E-5,30
39,428,1.1798944133857628E-4,428
40,979,1.4747810124383264E-4,979
41,123,1.1798944133857628E-4,123
42,562,1.1798944133857628E-4,562
43,205,1.1798944133857628E-4,205
44,37,4.214547969155348E-5,37
45,35,2.1854098630369213E-5,35
46,283,9.832840168654112E-5,283
47,316,1.1798944133857628E-4,316
48,204,1.1798944133857628E-4,204
49,133,1.1798944133857628E-4,133
50,285,1.1798944133857628E-4,285
51,336,1.1798944133857628E-4,336
52,701,5.893908714956188E-4,701
53,301,1.966181370787592E-4,301
54,76,1.1798944133857628E-4,76
55,69,4.214547969155348E-5,69
56,266,1.1798944133857628E-4,266
57,253,1.4747810124383264E-4,253
58,217,1.1798944133857628E-4,217
59,100,0.5263141549866923,100
60,191,5.3638468360715896E-5,191
61,476,1.4747810124383264E-4,476
62,95,5.3638468360715896E-5,95
63,551,0.9090470230713412,551
64,136,5.3638468360715896E-5,136
65,33,5.900168224481422E-5,33
66,474,0.7692063299986409,474
67,140,1.4747810124383264E-4,140
68,111,1.966181370787592E-4,111
69,34,5.3638468360715896E-5,34
70,39,3.105525284563315E-5,39
71,36,3.105525284563315E-5,36
72,271,5.893908714956188E-4,271
73,75,2.9486922897965496E-4,75
74,57,1.1798944133857628E-4,57
75,124,2.9486922897965496E-4,124
76,59,5.893908714956188E-4,59
77,32,7.374992712113499E-5,32
78,25,2.034698074757466E-5,25
79,53,5.3638468360715896E-5,53
80,53,2.9486922897965496E-4,53
81,88,1.1798944133857628E-4,88
82,107,7.374992712113499E-5,107
83,133,5.893908714956188E-4,133
84,169,8.428385501610716E-5,169
85,94,2.9486922897965496E-4,94
86,35,2.1854098630369213E-5,35
87,685,5.893908714956188E-4,685
88,162,1.966181370787592E-4,162
89,39,3.105525284563315E-5,39
90,79,5.900168224481422E-5,79
91,85,5.3638468360715896E-5,85
92,110,1.1798944133857628E-4,110
93,111,8.428385501610716E-5,111
94,53,1.1798944133857628E-4,53
95,52,5.3638468360715896E-5,52
96,159,0.9090470230713412,159
97,524,5.893908714956188E-4,524
98,183,8.428385501610716E-5,183
99,215,1.4747810124383264E-4,215
100,76,8.428385501610716E-5,76
101,563,1.1798944133857628E-4,563
102,257,2.9486922897965496E-4,257
103,55,2.8097775923865367E-5,55
104,102,9.832840168654112E-5,102
105,403,1.966181370787592E-4,403
106,35,2.1854098630369213E-5,35
107,145,1.966181370787592E-4,145
108,119,1.1798944133857628E-4,119
109,108,1.966181370787592E-4,108
