InstanceId,PredictedClassProbability,ActualClassLabel,Size
0,0.34483778146758104,NO,15
1,6.80445292785051E-5,NO,8
2,3.285139553901513E-5,NO,7
3,2.3807485401789434E-4,NO,320
4,0.9999047428443928,NO,1079
5,1.7012868768596816E-5,NO,5
6,0.90902005543397,NO,16
7,1.1906577357560972E-4,NO,16
8,0.9999047428443928,NO,40
9,0.90902005543397,NO,16
10,4.75923097391918E-4,NO,169
11,9.509410451685285E-4,NO,168
12,0.9999047428443928,NO,261
13,0.9999523668848013,NO,254
14,2.3807485401789434E-4,NO,97
15,3.173827647869295E-4,NO,12
16,1.0583904358000828E-4,NO,53
17,1.1906577357560972E-4,NO,35
18,9.525715560725618E-5,NO,13
19,4.75923097391918E-4,NO,9
20,9.509410451685285E-4,NO,59
21,1.1906577357560972E-4,NO,6
22,1.7012868768596816E-5,NO,5
23,9.509410451685285E-4,NO,552
24,9.509410451685285E-4,NO,274
25,9.509410451685285E-4,NO,136
26,2.802057869948763E-5,NO,4
27,2.802057869948763E-5,NO,4
28,1.7012868768596816E-5,NO,5
29,1.7012868768596816E-5,NO,5
30,2.3807485401789434E-4,NO,346
31,1.3607054084520924E-4,NO,647
32,9.509410451685285E-4,NO,68
33,2.3807485401789434E-4,NO,363
34,2.3807485401789434E-4,NO,126
35,3.175641857055912E-5,NO,7
36,3.175641857055912E-5,NO,7
37,1.0583904358000828E-4,NO,30
38,0.9999047428443928,NO,94
39,0.58822540505583,NO,154
40,9.509410451685285E-4,NO,75
41,9.509410451685285E-4,NO,40
42,0.9999047428443928,NO,84
43,9.509410451685285E-4,NO,375
44,3.173827647869295E-4,NO,207
45,8.659891403682012E-5,NO,49
46,7.938348362099745E-5,NO,36
47,9.509410451685285E-4,NO,144
48,3.173827647869295E-4,NO,188
49,1.3607054084520924E-4,NO,152
50,1.1906577357560972E-4,NO,58
51,1.1906577357560972E-4,NO,98
52,0.9999047428443928,NO,363
53,9.525715560725618E-5,NO,44
54,1.1906577357560972E-4,NO,359
55,1.3607054084520924E-4,NO,82
56,3.073208093543306E-5,NO,10
57,9.509410451685285E-4,NO,398
58,4.75923097391918E-4,NO,101
59,1.1906577357560972E-4,NO,76
60,3.073208093543306E-5,NO,10
61,3.8107218225161946E-5,NO,12
62,3.8107218225161946E-5,NO,12
63,4.75923097391918E-4,NO,160
64,4.75923097391918E-4,NO,65
65,5.9539975961101344E-5,NO,30
