InstanceId,Size,PredictedClassProbability,ActualClassLabel
0,18,8.39066957543212E-5,18
1,44,8.39066957543212E-5,44
2,34,8.39066957543212E-5,34
3,19,8.39066957543212E-5,19
4,8,8.39066957543212E-5,8
5,7,8.39066957543212E-5,7
6,402,1.6778523489932885E-4,402
7,1170,1.6778523489932885E-4,1170
8,114,1.6778523489932885E-4,114
9,5,8.39066957543212E-5,5
10,16,8.39066957543212E-5,16
11,11,8.39066957543212E-5,11
12,143,1.6778523489932885E-4,143
13,4,8.39066957543212E-5,4
14,141,1.6778523489932885E-4,141
15,16,8.39066957543212E-5,16
16,40,1.6778523489932885E-4,40
17,16,8.39066957543212E-5,16
18,173,1.6778523489932885E-4,173
19,168,0.9998322147651006,168
20,261,0.9998322147651006,261
21,271,0.9998322147651006,271
22,97,1.6778523489932885E-4,97
23,12,8.39066957543212E-5,12
24,53,1.6778523489932885E-4,53
25,35,8.39066957543212E-5,35
26,18,8.39066957543212E-5,18
27,13,8.39066957543212E-5,13
28,9,8.39066957543212E-5,9
29,50,1.6778523489932885E-4,50
30,6,8.39066957543212E-5,6
31,5,8.39066957543212E-5,5
32,714,1.6778523489932885E-4,714
33,277,1.6778523489932885E-4,277
34,140,0.9998322147651006,140
35,4,8.39066957543212E-5,4
36,4,8.39066957543212E-5,4
37,5,8.39066957543212E-5,5
38,120,1.6778523489932885E-4,120
39,5,8.39066957543212E-5,5
40,346,1.6778523489932885E-4,346
41,654,1.6778523489932885E-4,654
42,71,1.6778523489932885E-4,71
43,363,0.9998322147651006,363
44,144,1.6778523489932885E-4,144
45,7,8.39066957543212E-5,7
46,7,8.39066957543212E-5,7
47,31,1.6778523489932885E-4,31
48,94,1.6778523489932885E-4,94
49,154,0.9998322147651006,154
50,75,1.6778523489932885E-4,75
51,51,1.6778523489932885E-4,51
52,84,1.6778523489932885E-4,84
53,582,1.6778523489932885E-4,582
54,213,0.9998322147651006,213
55,49,1.6778523489932885E-4,49
56,36,8.39066957543212E-5,36
57,144,1.6778523489932885E-4,144
58,193,0.9998322147651006,193
59,152,0.9998322147651006,152
60,59,1.6778523489932885E-4,59
61,98,1.6778523489932885E-4,98
62,363,0.9998322147651006,363
63,44,8.39066957543212E-5,44
64,360,1.6778523489932885E-4,360
65,82,1.6778523489932885E-4,82
66,10,8.39066957543212E-5,10
67,414,0.9998322147651006,414
68,114,0.9998322147651006,114
69,78,1.6778523489932885E-4,78
70,10,8.39066957543212E-5,10
71,12,8.39066957543212E-5,12
72,12,8.39066957543212E-5,12
73,225,0.9998322147651006,225
74,40,1.6778523489932885E-4,40
75,30,1.6778523489932885E-4,30
76,75,1.6778523489932885E-4,75
77,30,1.6778523489932885E-4,30
78,11,1.6778523489932885E-4,11
79,4,8.39066957543212E-5,4
80,27,1.6778523489932885E-4,27
81,15,8.39066957543212E-5,15
82,52,1.6778523489932885E-4,52
83,70,1.6778523489932885E-4,70
84,82,1.6778523489932885E-4,82
85,119,1.6778523489932885E-4,119
86,55,1.6778523489932885E-4,55
87,14,8.39066957543212E-5,14
88,511,1.6778523489932885E-4,511
89,82,1.6778523489932885E-4,82
90,5,8.39066957543212E-5,5
91,45,8.39066957543212E-5,45
92,54,8.39066957543212E-5,54
93,51,1.6778523489932885E-4,51
94,88,1.6778523489932885E-4,88
95,26,8.39066957543212E-5,26
96,27,8.39066957543212E-5,27
97,124,1.6778523489932885E-4,124
98,341,1.6778523489932885E-4,341
99,111,1.6778523489932885E-4,111
100,95,1.6778523489932885E-4,95
101,10,8.39066957543212E-5,10
102,385,1.6778523489932885E-4,385
103,182,0.9998322147651006,182
104,30,8.39066957543212E-5,30
105,68,1.6778523489932885E-4,68
106,324,0.9998322147651006,324
107,7,8.39066957543212E-5,7
108,101,1.6778523489932885E-4,101
109,80,1.6778523489932885E-4,80
110,47,1.6778523489932885E-4,47
111,63,1.6778523489932885E-4,63
112,40,8.39066957543212E-5,40
113,48,1.6778523489932885E-4,48
114,34,8.39066957543212E-5,34
115,112,1.6778523489932885E-4,112
116,72,1.6778523489932885E-4,72
117,27,8.39066957543212E-5,27
118,165,1.6778523489932885E-4,165
119,28,8.39066957543212E-5,28
120,19,8.39066957543212E-5,19
121,161,1.6778523489932885E-4,161
122,20,8.39066957543212E-5,20
123,194,0.9998322147651006,194
124,38,8.39066957543212E-5,38
125,212,1.6783592360108757E-5,212
126,45,1.6783592360108757E-5,45
127,107,1.6783592360108757E-5,107
128,11,8.833610119783754E-6,11
129,22,1.6783592360108757E-5,22
130,126,1.6783592360108757E-5,126
131,191,2.0979314396005537E-5,191
132,198,1.6783592360108757E-5,198
133,65,1.6783592360108757E-5,65
134,265,5.594092638174088E-5,265
135,44,7.2973525205055604E-6,44
136,139,1.6783592360108757E-5,139
137,251,0.9998322147651006,251
138,6,1.6778523489932885E-4,6
139,215,1.6778523489932885E-4,215
140,44,1.6778523489932885E-4,44
141,27,1.6778523489932885E-4,27
142,13,1.6778523489932885E-4,13
143,61,1.6778523489932885E-4,61
144,363,1.6778523489932885E-4,363
145,86,1.6778523489932885E-4,86
146,43,1.6778523489932885E-4,43
147,13,1.6778523489932885E-4,13
148,33,1.6778523489932885E-4,33
149,29,8.39066957543212E-5,29
150,66,1.6778523489932885E-4,66
151,6,8.39066957543212E-5,6
152,30,1.6778523489932885E-4,30
153,115,1.6778523489932885E-4,115
154,5,8.39066957543212E-5,5
155,23,8.39066957543212E-5,23
156,20,8.39066957543212E-5,20
157,231,1.6778523489932885E-4,231
158,78,1.6778523489932885E-4,78
159,54,1.6778523489932885E-4,54
160,27,8.39066957543212E-5,27
161,91,1.6778523489932885E-4,91
162,94,1.6778523489932885E-4,94
163,75,1.6778523489932885E-4,75
164,5,8.39066957543212E-5,5
165,26,8.39066957543212E-5,26
166,30,8.39066957543212E-5,30
167,32,8.39066957543212E-5,32
168,57,1.6778523489932885E-4,57
169,31,8.39066957543212E-5,31
170,41,1.6778523489932885E-4,41
171,441,1.6778523489932885E-4,441
172,19,8.39066957543212E-5,19
173,193,0.9998322147651006,193
174,11,8.39066957543212E-5,11
175,12,8.39066957543212E-5,12
176,31,8.39066957543212E-5,31
177,69,1.6778523489932885E-4,69
178,33,8.39066957543212E-5,33
179,54,8.39066957543212E-5,54
180,54,8.39066957543212E-5,54
181,48,8.39066957543212E-5,48
182,66,1.6778523489932885E-4,66
183,30,8.39066957543212E-5,30
184,50,1.6778523489932885E-4,50
185,52,8.39066957543212E-5,52
186,117,1.6778523489932885E-4,117
187,65,1.6778523489932885E-4,65
188,24,1.6778523489932885E-4,24
189,37,1.6778523489932885E-4,37
190,29,1.6778523489932885E-4,29
191,28,1.6778523489932885E-4,28
192,29,1.6778523489932885E-4,29
193,20,1.6778523489932885E-4,20
194,38,1.6778523489932885E-4,38
195,46,1.6778523489932885E-4,46
196,22,1.6778523489932885E-4,22
197,84,1.6778523489932885E-4,84
198,92,1.6778523489932885E-4,92
199,70,1.6778523489932885E-4,70
200,37,1.6778523489932885E-4,37
201,71,0.9998322147651006,71
202,15,1.6778523489932885E-4,15
203,9,8.39066957543212E-5,9
204,9,1.6778523489932885E-4,9
205,268,0.9998322147651006,268
206,48,8.39066957543212E-5,48
207,36,8.39066957543212E-5,36
208,197,0.9998322147651006,197
209,59,8.39066957543212E-5,59
210,27,8.39066957543212E-5,27
211,62,1.6778523489932885E-4,62
212,64,8.39066957543212E-5,64
213,30,8.39066957543212E-5,30
214,47,1.6778523489932885E-4,47
215,107,1.6778523489932885E-4,107
216,95,1.6778523489932885E-4,95
217,47,1.6778523489932885E-4,47
218,49,8.39066957543212E-5,49
219,56,1.6778523489932885E-4,56
220,64,1.6778523489932885E-4,64
221,86,1.6778523489932885E-4,86
222,139,1.6778523489932885E-4,139
223,85,1.6778523489932885E-4,85
224,85,0.9998322147651006,85
225,65,1.6778523489932885E-4,65
226,56,8.39066957543212E-5,56
227,9,8.39066957543212E-5,9
228,69,0.9998322147651006,69
