InstanceId,PredictedClassProbability,ActualClassLabel,Size
0,0.4347865025172198,NO,15
1,6.241507438975119E-5,NO,8
2,2.7464552637838022E-5,NO,7
3,1.1441573427026748E-4,NO,320
4,6.857098456667217E-4,NO,1123
5,1.2955353612706788E-5,NO,5
6,1.71603967211489E-4,NO,16
7,7.62829748285632E-5,NO,16
8,6.857098456667217E-4,NO,40
9,1.71603967211489E-4,NO,16
10,2.287791166792938E-4,NO,169
11,2.287791166792938E-4,NO,168
12,3.4309018314989835E-4,NO,261
13,6.857098456667217E-4,NO,275
14,1.3729259775096834E-4,NO,97
15,1.71603967211489E-4,NO,12
16,7.62829748285632E-5,NO,53
17,7.62829748285632E-5,NO,35
18,7.62829748285632E-5,NO,13
19,1.71603967211489E-4,NO,9
20,3.4309018314989835E-4,NO,50
21,8.58167100936496E-5,NO,6
22,1.2955353612706788E-5,NO,5
23,6.857098456667217E-4,NO,552
24,6.857098456667217E-4,NO,274
25,2.287791166792938E-4,NO,136
26,2.0806756336909843E-5,NO,4
27,2.0806756336909843E-5,NO,4
28,1.2955353612706788E-5,NO,5
29,1.2955353612706788E-5,NO,5
30,2.287791166792938E-4,NO,346
31,2.287791166792938E-4,NO,647
32,2.287791166792938E-4,NO,68
33,2.287791166792938E-4,NO,363
34,2.287791166792938E-4,NO,126
35,2.367651786433517E-5,NO,7
36,2.367651786433517E-5,NO,7
37,2.287791166792938E-4,NO,30
38,2.287791166792938E-4,NO,94
39,0.5882281668228223,NO,154
40,2.287791166792938E-4,NO,75
41,2.287791166792938E-4,NO,40
42,2.287791166792938E-4,NO,84
43,2.287791166792938E-4,NO,375
44,2.287791166792938E-4,NO,207
45,2.287791166792938E-4,NO,49
46,5.7214413364249634E-5,NO,36
47,2.287791166792938E-4,NO,144
48,2.287791166792938E-4,NO,188
49,2.287791166792938E-4,NO,152
50,7.62829748285632E-5,NO,58
51,7.62829748285632E-5,NO,98
52,3.4309018314989835E-4,NO,363
53,5.281376952220594E-5,NO,44
54,6.857098456667217E-4,NO,359
55,7.62829748285632E-5,NO,82
56,2.4522066316837052E-5,NO,10
57,6.857098456667217E-4,NO,402
58,3.4309018314989835E-4,NO,101
59,9.80738354287702E-5,NO,76
60,2.4522066316837052E-5,NO,10
61,2.7464552637838022E-5,NO,12
62,2.7464552637838022E-5,NO,12
63,3.4309018314989835E-4,NO,160
