InstanceId,Size,PredictedClassProbability,ActualClassLabel
0,28,1.2971565982606895E-4,28
1,28,1.2971565982606895E-4,28
2,449,0.0015521584542358198,449
3,1324,0.0015521584542358198,1324
4,25,1.4150465519758115E-4,25
5,50,3.8894517036056905E-4,50
6,76,3.8894517036056905E-4,76
7,38,3.112045528915918E-4,38
8,178,0.0015521584542358198,178
9,326,0.0015521584542358198,326
10,370,0.9999221625267128,370
11,145,0.9523138810450863,145
12,49,0.9998443492843427,49
13,85,3.8894517036056905E-4,85
14,64,3.8894517036056905E-4,64
15,36,3.8894517036056905E-4,36
16,36,2.223285032896863E-4,36
17,32,5.184591256987787E-4,32
18,26,1.556507156571692E-4,26
19,543,0.0015521584542358198,543
20,395,0.9089751325548383,395
21,209,0.0015521584542358198,209
22,24,1.556507156571692E-4,24
23,24,1.556507156571692E-4,24
24,27,1.556507156571692E-4,27
25,73,0.9999221625267128,73
26,56,5.184591256987787E-4,56
27,30,0.0015521584542358198,30
28,294,0.0015521584542358198,294
29,983,3.8894517036056905E-4,983
30,262,0.0015521584542358198,262
31,626,0.0015521584542358198,626
32,37,2.223285032896863E-4,37
33,35,2.223285032896863E-4,35
34,286,3.8894517036056905E-4,286
35,232,3.8894517036056905E-4,232
36,203,3.8894517036056905E-4,203
37,286,0.0015521584542358198,286
38,425,3.8894517036056905E-4,425
39,249,0.0015521584542358198,249
40,74,2.223285032896863E-4,74
41,69,2.223285032896863E-4,69
42,247,0.0015521584542358198,247
43,237,5.184591256987787E-4,237
44,214,0.0015521584542358198,214
45,99,3.8894517036056905E-4,99
46,191,3.8894517036056905E-4,191
47,464,0.0015521584542358198,464
48,95,3.8894517036056905E-4,95
49,549,3.8894517036056905E-4,549
50,136,3.8894517036056905E-4,136
51,40,0.5555459461571682,40
52,86,2.223285032896863E-4,86
53,105,5.184591256987787E-4,105
54,79,5.184591256987787E-4,79
55,85,3.8894517036056905E-4,85
56,72,3.8894517036056905E-4,72
57,105,0.0015521584542358198,105
58,52,3.8894517036056905E-4,52
59,151,0.0015521584542358198,151
60,264,3.8894517036056905E-4,264
61,183,5.184591256987787E-4,183
62,195,5.184591256987787E-4,195
63,76,3.112045528915918E-4,76
64,250,5.184591256987787E-4,250
65,237,0.9998443492843427,237
66,55,2.223285032896863E-4,55
67,102,0.0015521584542358198,102
