InstanceId,PredictedClassProbability,ActualClassLabel,Size
0,8.842843780029717E-4,NO,22
1,0.0013934894082301664,NO,44
2,0.0011069074221160553,NO,34
3,8.264664725269418E-5,NO,19
4,8.178857505648856E-5,NO,8
5,8.178857505648856E-5,NO,7
6,0.006616379320698267,NO,326
7,1.0,NO,1161
8,8.144233821324194E-5,NO,5
9,8.218974709476714E-5,NO,16
10,8.178857505648856E-5,NO,11
11,0.16339272923211248,NO,143
12,8.144233821324194E-5,NO,4
13,1.37924352338847E-4,NO,135
14,8.229545598384215E-5,NO,16
15,8.591328434338391E-5,NO,40
16,8.218974709476714E-5,NO,16
17,2.2002536544901783E-4,NO,169
18,2.2002536544901783E-4,NO,168
19,7.300188490121929E-4,NO,261
20,6.393765665271197E-4,NO,275
21,1.0339922137878278E-4,NO,97
22,8.274652082250682E-5,NO,12
23,9.018157421419988E-5,NO,53
24,8.562757477715846E-5,NO,35
25,2.1644993835156465E-4,NO,18
26,8.274652082250682E-5,NO,13
27,8.234263136915664E-5,NO,9
28,8.894317296327684E-5,NO,50
29,8.144233821324194E-5,NO,6
30,8.144233821324194E-5,NO,5
31,0.9999999842455861,NO,702
32,0.03998503052135255,NO,261
33,5.993313940248488E-4,NO,137
34,8.144233821324194E-5,NO,4
35,8.144233821324194E-5,NO,4
36,8.144233821324194E-5,NO,5
37,1.2126135763676432E-4,NO,120
38,8.144233821324194E-5,NO,5
39,0.004679652268222531,NO,346
40,0.9534086508061311,NO,652
41,1.0101733577180986E-4,NO,68
42,0.0038024311674830944,NO,363
43,1.503561481252979E-4,NO,126
44,8.189376801774047E-5,NO,7
45,8.189376801774047E-5,NO,7
46,2.0591789217836104E-4,NO,31
47,1.0586754257540628E-4,NO,94
48,2.0369153781265662E-4,NO,154
49,9.971086487997395E-5,NO,75
50,1.0089962665617108E-4,NO,40
51,1.0260948308918429E-4,NO,84
52,0.9999999781480423,NO,582
53,0.004932527327988336,NO,213
54,1.1168418523296466E-4,NO,49
55,8.645760289010316E-5,NO,36
56,3.316609104097722E-4,NO,144
57,6.188141858893251E-4,NO,193
58,1.7238308769343435E-4,NO,152
59,2.1234666879176167E-4,NO,59
60,1.2265227563391915E-4,NO,98
61,0.11934583690468034,NO,363
62,8.843597068396034E-5,NO,44
63,0.0017527575110149918,NO,360
64,1.0861933116412996E-4,NO,82
65,8.178857505648856E-5,NO,10
66,0.45999397706773554,NO,393
67,1.1592788617018331E-4,NO,101
