InstanceId,Size,PredictedClassProbability,ActualClassLabel
0,8,3.7746126461125754E-4,8
1,7,3.7310767034316684E-4,7
2,320,0.004745952046102135,320
3,1034,0.9999999999845064,1034
4,5,3.7310767034316684E-4,5
5,16,3.831032390874062E-4,16
6,36,4.031138229124513E-4,36
7,14,3.8198871989565783E-4,14
8,121,0.004726823651543813,121
9,235,0.009803804385483415,235
10,248,0.005758693969079216,248
11,97,0.008661782219815206,97
12,53,4.314693783405444E-4,53
13,35,4.054822925545072E-4,35
14,13,3.807868544798896E-4,13
15,8,3.807868544798896E-4,8
16,6,0.0028336678016623678,6
17,5,3.7310767034316684E-4,5
18,438,0.9974845928708067,438
19,269,0.9962580150337214,269
20,142,0.038010005560633886,142
21,4,0.002076419164525559,4
22,4,3.7310767034316684E-4,4
23,5,3.7310767034316684E-4,5
24,46,0.015443442627582446,46
25,29,4.001603462666183E-4,29
26,5,0.001953691734458798,5
27,250,0.029520303661653244,250
28,648,0.3464149358923766,648
29,178,8.156885849511826E-4,178
30,418,0.014324651935955227,418
31,7,0.0019373898411923823,7
32,7,3.741962872126579E-4,7
33,32,4.527440620160886E-4,32
34,76,4.6490039537690117E-4,76
35,154,8.298746609918718E-4,154
36,36,4.5876502627941845E-4,36
37,363,0.027011986039766643,363
38,194,0.001147332707165954,194
39,47,5.015490028748762E-4,47
40,36,4.090675497753244E-4,36
41,126,9.802311056894778E-4,126
42,185,0.005165983001612401,185
43,149,6.937693367835911E-4,149
44,58,4.7254543423793635E-4,58
45,98,5.677100014081858E-4,98
46,352,0.4301670823086315,352
47,44,4.1954137786851615E-4,44
48,358,0.0017955365798826737,358
49,82,5.242322200321481E-4,82
50,15,3.8198871989565783E-4,15
51,50,4.378555130003647E-4,50
52,68,0.006667053189171339,68
53,45,0.002176326659200914,45
54,54,4.264302573664147E-4,54
55,26,0.00219557783209977,26
56,75,4.6490039537690117E-4,75
57,27,3.9503550561299783E-4,27
58,109,0.14335391322773622,109
59,191,0.151530169095513,191
60,111,0.01632411175060623,111
61,84,0.04474763654041036,84
62,10,0.0019613077970400817,10
63,183,0.09563741751564045,183
64,163,0.6784335967381744,163
65,30,4.001603462666183E-4,30
66,7,0.0019593829846717174,7
67,73,0.0024060955454908817,73
68,77,0.0024877151525701893,77
69,23,3.901019668275767E-4,23
70,27,3.9272803290474345E-4,27
71,165,0.004566790947211572,165
72,28,0.0025897051045686765,28
73,19,0.008674942809320792,19
74,161,0.3343462808926185,161
75,20,0.0025332793050099637,20
76,191,0.9999503309949554,191
77,38,4.090675497753244E-4,38
78,212,0.8008086534298816,212
79,45,0.007529790292780828,45
80,107,0.09294526785631634,107
81,11,0.005766510890203192,11
82,22,0.0025000258717349988,22
83,126,0.15377368903958072,126
84,190,0.3254392700014016,190
85,198,0.6214970351847326,198
86,65,0.02211961214477718,65
87,248,0.9998180436746256,248
88,28,0.024266753433347804,28
89,139,0.3617420142347726,139
90,6,0.002125158480390794,6
91,30,4.001603462666183E-4,30
92,86,0.036599698267903644,86
93,4,0.0020812064996004196,4
94,23,0.00690601414230531,23
95,11,0.0020789857014775095,11
96,61,0.01570944831907108,61
97,47,0.0022327608884719747,47
98,18,0.0021994267604935587,18
99,85,0.007364986793646904,85
100,75,8.156961473335129E-62,75
101,4,0.0020812064996004196,4
102,25,0.0020554655326741195,25
103,30,4.001603462666183E-4,30
104,32,0.002775942085676406,32
105,52,0.003533310421650357,52
106,31,0.0027264018395982115,31
107,36,0.0028538083216995205,36
108,372,0.9993661834015478,372
109,12,0.002306493137753936,12
110,31,0.002733539921876913,31
111,104,0.033535350925127744,104
112,33,0.0027264018395982115,33
113,53,0.003815000655943166,53
114,55,0.00398922635176501,55
115,48,0.003354353385758966,48
116,66,0.00526027789032234,66
117,30,0.002717609964788967,30
118,50,0.0036064404908131933,50
119,53,0.0036596470020843594,53
120,89,0.023307640916651755,89
121,49,4.2042684154348003E-4,49
122,10,3.7746126461125754E-4,10
123,351,0.9274567322362184,351
124,116,0.02505069858346091,116
125,85,0.018586451918425357,85
126,43,4.1100741608707605E-4,43
127,31,0.014500452395700901,31
128,10,3.7746126461125754E-4,10
129,12,3.7746126461125754E-4,12
130,12,3.7746126461125754E-4,12
131,46,4.3169131839429243E-4,46
132,8,3.785625791594939E-4,8
133,348,0.9301305565813847,348
134,153,0.5013119477236245,153
135,59,0.007462182719587194,59
136,28,0.002058306948418946,28
137,18,3.8535418314091164E-4,18
138,7,3.7310767034316684E-4,7
139,4,3.7310767034316684E-4,4
140,27,3.9503550561299783E-4,27
141,72,0.005642062262661872,72
142,71,0.0024060955454908817,71
143,62,4.352711463309529E-4,62
144,30,3.978229503654158E-4,30
145,49,4.167420677423779E-4,49
146,69,4.458206754260579E-4,69
147,62,0.004321974817459857,62
148,47,0.002640815951090085,47
149,53,0.005151392680782738,53
150,65,0.0065843863098196415,65
151,136,0.0030218389279210583,136
152,91,4.8080627372224644E-4,91
153,56,0.00382062601146093,56
154,9,3.785625791594939E-4,9
155,77,0.0031091150789353964,77
156,74,0.0031544346839938123,74
157,119,0.014071677170328657,119
158,90,0.002481881285708123,90
159,46,4.2539505041990465E-4,46
160,30,0.002717609964788967,30
