InstanceId,Size,PredictedClassProbability,ActualClassLabel
0,45,0.6466666666666666,45
1,28,0.0,28
2,28,0.0,28
3,449,0.0,449
4,1470,0.17,1470
5,25,0.0,25
6,39,0.0,39
7,47,0.09166666666666666,47
8,30,0.26848809523809525,30
9,215,0.089,215
10,50,0.0,50
11,82,0.0,82
12,41,0.001333333333333333,41
13,245,0.0,245
14,227,0.013333333333333332,227
15,363,0.10166666666666666,363
16,407,0.3177023809523809,407
17,145,0.0,145
18,49,0.0,49
19,85,0.0,85
20,64,0.0,64
21,36,0.0,36
22,37,0.0,37
23,83,0.0,83
24,32,0.0,32
25,26,0.0,26
26,835,0.44316666666666665,835
27,365,0.06,365
28,206,0.03,206
29,24,0.0,24
30,24,0.0,24
31,27,0.0,27
32,260,0.0,260
33,30,0.0,30
34,428,0.0,428
35,972,0.02,972
36,123,0.0,123
37,562,0.0,562
38,205,0.0225,205
39,37,0.0,37
40,35,0.0,35
41,276,0.06,276
42,316,0.0,316
43,204,0.02016666666666667,204
44,133,0.01,133
45,285,0.0,285
46,336,0.0,336
47,464,0.04,464
48,294,0.01,294
49,76,0.02,76
50,69,0.0,69
51,266,0.01,266
52,247,0.02666666666666666,247
53,217,0.01,217
54,99,0.0,99
55,191,0.0,191
56,476,0.22283333333333327,476
57,95,0.0,95
58,550,0.0,550
59,136,0.0,136
60,33,0.0,33
61,483,0.0,483
62,140,0.0,140
63,111,0.05950000000000001,111
64,34,0.0,34
65,39,0.0,39
66,36,0.0,36
67,257,0.05,257
68,61,0.0,61
69,57,0.0,57
70,124,0.0,124
71,59,0.0,59
72,32,0.0,32
73,25,0.0,25
74,53,0.0,53
75,53,0.0,53
76,88,0.0,88
77,107,0.0,107
78,133,0.0,133
79,169,0.01,169
80,80,0.0,80
81,29,0.0,29
82,588,0.12666666666666665,588
83,162,0.08800000000000002,162
84,39,0.0,39
85,79,0.0,79
86,85,0.0,85
87,110,0.0,110
88,111,0.0,111
89,53,0.01,53
90,52,0.0,52
91,154,0.01,154
92,403,0.1899880952380953,403
93,183,0.01,183
94,215,0.01,215
95,76,0.0,76
96,554,0.0,554
97,257,0.0,257
98,55,0.0,55
99,102,0.0,102
100,403,0.0,403
101,35,0.0,35
102,145,0.5289285714285715,145
103,119,0.0,119
104,108,0.16790476190476192,108
105,91,0.08,91
106,69,0.006666666666666665,69
107,80,0.78,80
108,63,0.0,63
109,160,0.13233333333333333,160
110,98,0.0,98
111,54,0.0,54
112,267,0.0,267
113,55,0.0,55
114,46,0.0,46
115,226,0.0,226
116,54,0.0,54
117,270,0.02,270
118,74,0.0,74
119,359,0.01,359
120,78,0.0,78
121,180,0.0,180
122,57,0.0,57
123,50,0.0,50
124,243,0.0,243
125,254,0.0,254
126,306,0.0,306
127,139,0.0,139
128,375,0.24889285714285714,375
129,75,0.01,75
130,222,0.0,222
131,61,0.0,61
132,98,0.0,98
133,28,0.0,28
134,55,0.0,55
135,194,0.0,194
136,28,0.0,28
137,50,0.0,50
138,55,0.0,55
139,124,0.0,124
140,87,0.0,87
141,65,0.0,65
142,144,0.0,144
143,134,0.0,134
144,117,0.0,117
145,28,0.0,28
146,57,0.0,57
147,60,0.0,60
148,62,0.0,62
149,89,0.0,89
150,60,0.0,60
151,68,0.0,68
152,522,0.24083333333333334,522
153,43,0.0,43
154,247,0.0,247
155,35,0.0,35
156,42,0.0,42
157,57,0.0,57
158,117,0.0,117
159,61,0.0,61
160,92,0.0,92
161,93,0.0,93
162,80,0.02,80
163,101,0.0,101
164,59,0.0,59
165,84,0.0,84
166,82,0.0,82
167,172,0.0,172
168,143,0.02,143
169,78,0.0,78
170,66,0.0,66
171,66,0.0,66
172,85,0.11340870240870242,85
173,54,0.0,54
174,77,0.0225,77
175,137,0.0016666666666666663,137
176,130,0.018000000000000002,130
177,79,0.0,79
178,76,0.0,76
179,81,0.1,81
180,98,0.0,98
181,115,0.01,115
182,180,0.0,180
183,118,0.0,118
184,132,0.01,132
185,95,0.0,95
186,88,0.0,88
187,51,0.0,51
188,120,0.0,120
