InstanceId,Size,PredictedClassProbability,ActualClassLabel
0,8,0.0,8
1,7,0.0,7
2,279,0.01,279
3,836,0.05,836
4,5,0.0,5
5,16,0.12583333333333335,16
6,36,0.05,36
7,14,0.31703571428571425,14
8,116,0.06,116
9,189,0.68,189
10,254,0.0,254
11,100,0.01,100
12,53,0.0,53
13,35,0.68,35
14,13,0.0125,13
15,8,0.0,8
16,7,0.0,7
17,5,0.0,5
18,409,0.0,409
19,235,0.0,235
20,125,0.61,125
21,4,0.0,4
22,5,0.0,5
23,42,0.42,42
24,29,0.01,29
25,5,0.0,5
26,152,0.01,152
27,648,0.05,648
28,178,0.0,178
29,418,0.01,418
30,7,0.0,7
31,7,0.0,7
32,32,0.06,32
33,76,0.0,76
34,154,0.01,154
35,36,0.05,36
36,363,0.01,363
37,194,0.0,194
38,47,0.0,47
39,36,0.05,36
40,123,0.61,123
41,181,0.0,181
42,149,0.01,149
43,58,0.03,58
44,98,0.01,98
45,335,0.01,335
46,44,0.03,44
47,358,0.01,358
48,82,0.0,82
49,15,0.3260357142857143,15
50,50,0.0,50
51,55,0.0,55
52,45,0.0,45
53,54,0.0,54
54,13,0.0125,13
55,80,0.0,80
56,27,0.0,27
57,70,0.0,70
58,10,0.0,10
59,167,0.19,167
60,143,0.03,143
61,30,0.02,30
62,5,0.0,5
63,74,0.0,74
64,66,0.0,66
65,17,0.12583333333333335,17
66,27,0.0,27
67,128,0.61,128
68,75,0.0,75
69,68,0.0,68
70,38,0.6,38
71,49,0.0,49
72,10,0.01,10
73,341,0.94,341
74,109,0.06,109
75,87,0.0,87
76,43,0.08,43
77,22,0.05433333333333332,22
78,10,0.0,10
79,12,0.0,12
80,12,0.0,12
81,46,0.0,46
82,8,0.0,8
83,336,0.01,336
84,168,0.1,168
85,57,0.03,57
86,29,0.03,29
87,18,0.13583333333333333,18
88,7,0.0,7
89,4,0.0,4
90,27,0.0,27
91,72,0.0,72
92,70,0.0,70
93,62,0.03,62
94,30,0.02,30
95,49,0.0,49
96,69,0.0,69
97,46,0.0,46
98,52,0.0,52
99,61,0.01,61
100,135,0.61,135
101,91,0.01,91
102,9,0.05,9
103,36,0.05,36
104,62,0.6959722222222223,62
