InstanceId,PredictedClassProbability,ActualClassLabel,Size
0,0.0,NO,8
1,0.0,NO,7
2,0.84,NO,279
3,0.0,NO,836
4,0.0,NO,5
5,0.06,NO,16
6,0.0,NO,36
7,0.02609523809523809,NO,14
8,0.0,NO,116
9,0.0,NO,189
10,0.05,NO,252
11,0.0,NO,100
12,0.0,NO,53
13,0.0,NO,35
14,0.0,NO,13
15,0.0,NO,8
16,0.0,NO,7
17,0.0,NO,5
18,0.86,NO,409
19,0.02,NO,238
20,0.0,NO,125
21,0.0,NO,4
22,0.0,NO,5
23,0.4816666666666667,NO,42
24,0.0,NO,29
25,0.0,NO,5
26,0.0,NO,152
27,0.0,NO,648
28,0.0,NO,178
29,0.0,NO,418
30,0.0,NO,7
31,0.0,NO,7
32,0.0,NO,32
33,0.0,NO,76
34,0.0,NO,154
35,0.0,NO,36
36,0.0,NO,363
37,0.0,NO,194
38,0.0,NO,47
39,0.0,NO,36
40,0.03,NO,126
41,0.0,NO,181
42,0.0,NO,149
43,0.0,NO,58
44,0.0,NO,98
45,0.0,NO,335
46,0.0,NO,44
47,0.0,NO,358
48,0.0,NO,82
49,0.1969642857142857,NO,15
50,0.0,NO,50
51,0.0,NO,55
52,0.0,NO,45
53,0.0,NO,54
54,0.0,NO,13
55,0.21,NO,80
56,0.0,NO,27
57,0.0,NO,70
58,0.0,NO,10
59,0.65,NO,167
60,0.55,NO,143
61,0.0,NO,30
62,0.0,NO,5
63,0.01,NO,74
64,0.55,NO,66
65,0.93,NO,17
66,0.0,NO,27
67,0.0,NO,128
68,0.0,NO,75
69,0.0,NO,68
70,0.0,NO,38
71,0.0,NO,49
72,0.0,NO,10
73,0.42,NO,350
74,0.0,NO,109
75,0.0,NO,87
76,0.0,NO,43
77,0.03,NO,22
78,0.0,NO,10
79,0.0,NO,12
80,0.0,NO,12
81,0.0,NO,46
82,0.0,NO,8
83,0.88,NO,336
84,0.0,NO,168
85,0.0,NO,57
86,0.0,NO,29
87,0.09,NO,18
88,0.0,NO,7
89,0.0,NO,4
90,0.0,NO,27
91,0.0,NO,72
92,0.0,NO,70
93,0.0,NO,62
94,0.0,NO,30
95,0.0,NO,49
96,0.0,NO,69
97,0.0,NO,46
98,0.0,NO,52
99,0.0,NO,61
100,0.0,NO,135
101,0.0,NO,91
102,0.0,NO,9
103,0.0,NO,36
104,0.0,NO,62
105,0.02,NO,8
106,0.0,NO,7
107,0.27,NO,279
108,0.4911666666666666,NO,836
109,0.0,NO,5
110,0.04,NO,16
111,0.0,NO,36
112,0.05,NO,14
113,0.0,NO,116
114,0.01,NO,189
115,0.22,NO,252
116,0.0,NO,100
117,0.0,NO,53
118,0.01,NO,35
119,0.01,NO,13
120,0.04,NO,8
121,0.01,NO,7
122,0.0,NO,5
123,0.32699999999999996,NO,409
124,0.13,NO,238
125,0.0,NO,125
126,0.0,NO,4
127,0.0,NO,5
128,0.03,NO,42
129,0.02,NO,29
130,0.0,NO,5
131,0.02,NO,152
132,0.4911666666666666,NO,648
133,0.01,NO,178
134,0.4576666666666666,NO,418
135,0.01,NO,7
136,0.07,NO,7
137,0.0,NO,32
138,0.0,NO,76
139,0.02,NO,154
140,0.0,NO,36
141,0.27,NO,363
142,0.04,NO,194
143,0.0,NO,47
144,0.02,NO,36
145,0.0,NO,126
146,0.01,NO,181
147,0.03,NO,149
148,0.0,NO,58
149,0.0,NO,98
150,0.3016666666666667,NO,335
151,0.01,NO,44
152,0.2858333333333334,NO,358
153,0.0,NO,82
154,0.0,NO,15
155,0.01,NO,50
156,0.01,NO,55
157,0.0,NO,45
158,0.0,NO,54
159,0.0,NO,13
160,0.0,NO,80
161,0.0,NO,27
162,0.0,NO,70
163,0.0,NO,10
164,0.02,NO,167
165,0.02,NO,143
166,0.0,NO,30
167,0.0,NO,5
168,0.0,NO,74
169,0.0,NO,66
170,0.02,NO,17
171,0.0,NO,27
172,0.0,NO,128
173,0.0,NO,75
174,0.0,NO,68
175,0.0,NO,38
176,0.0,NO,49
177,0.14,NO,10
178,0.2816666666666667,NO,350
179,0.0,NO,109
180,0.0,NO,87
181,0.0,NO,43
182,0.02,NO,22
183,0.06,NO,10
184,0.0,NO,12
185,0.0,NO,12
186,0.0,NO,46
187,0.02,NO,8
188,0.3016666666666667,NO,336
189,0.02,NO,168
190,0.01,NO,57
191,0.01,NO,29
192,0.02,NO,18
193,0.0,NO,7
194,0.0,NO,4
195,0.0,NO,27
196,0.0,NO,72
197,0.0,NO,70
198,0.0,NO,62
199,0.0,NO,30
200,0.0,NO,49
201,0.0,NO,69
202,0.0,NO,46
203,0.0,NO,52
204,0.0,NO,61
205,0.0,NO,135
206,0.0,NO,91
207,0.05,NO,9
208,0.02,NO,36
209,0.01,NO,62
210,0.0,NO,30
211,0.0,NO,61
212,0.01,NO,34
213,0.0,NO,93
214,0.02,NO,29
215,0.01,NO,52
216,0.0,NO,51
217,0.02,NO,30
218,0.0,NO,25
219,0.0,NO,30
220,0.0,NO,5
221,0.0,NO,4
222,0.0,NO,246
223,0.0,NO,599
224,0.0,NO,5
225,0.0,NO,159
226,0.0,NO,132
227,0.0,NO,9
228,0.0,NO,8
229,0.0,NO,7
230,0.0,NO,238
231,0.0,NO,341
232,0.0,NO,167
233,0.0,NO,4
234,0.0,NO,6
235,0.0,NO,30
236,0.0,NO,24
237,0.0,NO,206
238,0.0,NO,176
239,0.0,NO,418
240,0.0,NO,7
241,0.0,NO,7
242,0.0,NO,35
243,0.0,NO,37
244,0.0,NO,241
245,0.0,NO,130
246,0.0,NO,383
247,0.0,NO,296
248,0.0,NO,161
249,0.1969642857142857,NO,15
250,0.0,NO,50
251,0.0,NO,53
252,0.0,NO,135
253,0.13,NO,123
254,0.0,NO,74
255,0.0,NO,62
256,0.06,NO,16
257,0.0,NO,9
258,0.0,NO,191
259,0.0,NO,85
260,0.10283333333333335,NO,39
261,0.0,NO,54
262,0.0,NO,88
263,0.0,NO,72
264,0.0,NO,8
265,0.0,NO,212
266,0.0,NO,24
267,0.0,NO,13
268,0.1969642857142857,NO,15
269,0.0,NO,8
270,0.0,NO,7
271,0.0,NO,37
272,0.0,NO,30
273,0.05,NO,17
274,0.0,NO,51
275,0.0,NO,5
276,0.0,NO,156
277,0.0,NO,343
278,0.0,NO,191
279,0.0,NO,47
280,0.0,NO,36
281,0.0,NO,61
282,0.0,NO,72
283,0.0,NO,246
284,0.0,NO,43
285,0.0,NO,255
286,0.0,NO,84
287,0.0,NO,64
288,0.0,NO,10
289,0.4816666666666667,NO,40
290,0.1969642857142857,NO,15
291,0.0,NO,45
292,0.0,NO,54
293,0.0,NO,13
294,0.0,NO,83
295,0.0,NO,30
296,0.0,NO,5
