InstanceId,Size,PredictedClassProbability,ActualClassLabel
0,45,0.53,NO
1,79,0.39,NO
2,67,0.34,NO
3,45,0.54,NO
4,28,0.21,NO
5,28,0.21,NO
6,564,0.34,NO
7,1492,0.51,NO
8,174,0.13,NO
9,25,0.21,NO
10,39,0.59,NO
11,47,0.68,NO
12,184,0.12,NO
13,30,0.4808585858585859,NO
14,221,0.09,NO
15,50,0.61,NO
16,101,0.34,NO
17,41,0.79,NO
18,250,0.23,NO
19,227,0.1,NO
20,363,0.32,NO
21,408,0.33,NO
22,145,0.19,NO
23,49,0.55,NO
24,85,0.0,NO
25,64,0.63,NO
26,42,0.58,NO
27,36,0.41,NO
28,37,0.25,NO
29,83,0.49,NO
30,32,0.49,NO
31,26,0.21,NO
32,883,0.36,NO
33,421,0.33,NO
34,213,0.09,NO
35,24,0.41,NO
36,24,0.11,NO
37,27,0.32,NO
38,259,0.13,NO
39,30,0.25085858585858584,NO
40,428,0.26,NO
41,981,0.2,NO
42,126,0.15,NO
43,562,0.43,NO
44,226,0.09,NO
45,37,0.31,NO
46,35,0.28,NO
47,283,0.06,NO
48,316,0.07,NO
49,204,0.11,NO
50,133,0.16,NO
51,298,0.05,NO
52,336,0.07,NO
53,701,0.27,NO
54,301,0.33,NO
55,76,0.39,NO
56,69,0.47,NO
57,266,0.29,NO
58,253,0.46,NO
59,217,0.07,NO
60,100,0.23,NO
61,191,0.18,NO
62,476,0.25,NO
63,95,0.27,NO
64,551,0.14,NO
65,136,0.14,NO
66,33,0.32,NO
67,496,0.24,NO
68,156,0.11,NO
69,113,0.22,NO
70,34,0.43,NO
71,39,0.6,NO
72,36,0.41,NO
73,288,0.32,NO
74,75,0.38,NO
75,57,0.53,NO
76,124,0.19,NO
77,59,0.64,NO
78,32,0.49,NO
79,25,0.21,NO
80,53,0.5,NO
81,53,0.53,NO
82,88,0.32,NO
83,107,0.27,NO
84,134,0.2,NO
85,169,0.13,NO
86,94,0.24,NO
87,35,0.49,NO
88,695,0.22,NO
89,162,0.13,NO
90,39,0.59,NO
91,79,0.46,NO
92,85,0.51,NO
93,110,0.0,NO
94,122,0.15,NO
95,53,0.44,NO
96,52,0.3,NO
97,177,0.11,NO
98,533,0.47,NO
99,183,0.13,NO
100,215,0.16,NO
101,76,0.62,NO
102,563,0.38,NO
103,257,0.05,NO
104,55,0.29,NO
105,102,0.25,NO
106,403,0.22,NO
107,35,0.5,NO
108,145,0.15,NO
109,119,0.2,NO
110,108,0.24,NO
111,91,0.32,NO
112,69,0.57,NO
113,80,0.47,NO
114,63,0.52,NO
115,160,0.11,NO
116,102,0.25,NO
117,54,0.39,NO
118,267,0.08,NO
119,55,0.4,NO
120,46,0.4,NO
121,226,0.12,NO
122,54,0.39,NO
123,270,0.08,NO
124,74,0.28,NO
125,359,0.0,NO
126,78,0.0,NO
127,180,0.0,NO
128,57,0.0,NO
129,50,0.0,NO
130,243,0.0,NO
131,254,0.0,NO
132,306,0.0,NO
133,139,0.0,NO
134,372,0.08571428571428572,NO
135,75,0.0,NO
136,222,0.0,NO
137,571,0.11,NO
138,37,0.53,NO
139,347,0.12,NO
140,120,0.25,NO
141,61,0.52,NO
142,51,0.53,NO
143,157,0.2,NO
144,777,0.38799999999999996,NO
145,198,0.09,NO
146,114,0.26,NO
147,51,0.53,NO
148,87,0.38,NO
149,61,0.46,NO
150,98,0.24,NO
151,28,0.08,NO
152,55,0.46,NO
153,195,0.15,NO
154,28,0.21,NO
155,50,0.55,NO
156,55,0.4,NO
157,542,0.52,NO
158,130,0.15,NO
159,87,0.45,NO
160,65,0.57,NO
161,140,0.21,NO
162,134,0.15,NO
163,117,0.27,NO
164,28,0.21,NO
165,57,0.47,NO
166,60,0.34,NO
167,62,0.63,NO
168,89,0.43,NO
169,60,0.65,NO
170,68,0.57,NO
171,522,0.14,NO
172,43,0.6,NO
173,247,0.05,NO
174,35,0.49,NO
175,42,0.77,NO
176,57,0.46,NO
177,125,0.14,NO
178,61,0.64,NO
179,92,0.44,NO
180,92,0.33,NO
181,80,0.55,NO
182,101,0.3,NO
183,59,0.64,NO
184,84,0.51,NO
185,81,0.38,NO
186,173,0.15,NO
187,192,0.17,NO
188,53,0.51,NO
189,93,0.44,NO
190,68,0.66,NO
191,68,0.65,NO
192,61,0.53,NO
193,58,0.53,NO
194,84,0.62,NO
195,105,0.33,NO
196,64,0.52,NO
197,181,0.11,NO
198,144,0.17,NO
199,127,0.21,NO
200,62,0.0,NO
201,159,0.12,NO
202,99,0.33,NO
203,73,0.59,NO
204,74,0.51,NO
205,330,0.34,NO
206,81,0.47,NO
207,66,0.62,NO
208,245,0.22,NO
209,91,0.29,NO
210,57,0.65,NO
211,85,0.61,NO
212,94,0.34,NO
213,54,0.62,NO
214,75,0.55,NO
215,137,0.17,NO
216,133,0.18,NO
217,79,0.34,NO
218,76,0.28,NO
219,81,0.47,NO
220,99,0.26,NO
221,115,0.3,NO
222,180,0.11,NO
223,118,0.27,NO
224,132,0.16,NO
225,94,0.36,NO
226,88,0.6,NO
227,51,0.41,NO
228,111,0.23,NO
