InstanceId,PredictedClassProbability,ActualClassLabel,Size
0,0.4741704129204129,NO,22
1,0.61,NO,44
2,0.0,NO,34
3,0.29,NO,19
4,0.0,NO,8
5,0.0,NO,7
6,0.03,NO,326
7,0.67,NO,1152
8,0.0,NO,5
9,0.0,NO,16
10,0.0,NO,11
11,0.62,NO,143
12,0.0,NO,4
13,0.04,NO,139
14,0.0,NO,16
15,0.0,NO,40
16,0.0,NO,16
17,0.0,NO,169
18,0.0,NO,168
19,0.02,NO,261
20,0.08,NO,275
21,0.0,NO,97
22,0.0,NO,12
23,0.0,NO,53
24,0.0,NO,35
25,0.0,NO,18
26,0.0,NO,13
27,0.0,NO,9
28,0.20474481074481074,NO,50
29,0.0,NO,6
30,0.0,NO,5
31,0.65,NO,728
32,0.255,NO,261
33,0.09,NO,140
34,0.0,NO,4
35,0.0,NO,4
36,0.0,NO,5
37,0.12,NO,120
38,0.0,NO,5
39,0.0,NO,346
40,0.0,NO,652
41,0.01,NO,68
42,0.0,NO,363
43,0.01,NO,126
44,0.0,NO,7
45,0.0,NO,7
46,0.0,NO,31
47,0.01,NO,94
48,0.09502992269168742,NO,154
49,0.01625,NO,75
50,0.0,NO,40
51,0.0,NO,84
52,0.06483333333333334,NO,582
53,0.25469047619047624,NO,213
54,0.0,NO,49
55,0.0,NO,36
56,0.0,NO,144
57,0.73,NO,193
58,0.0,NO,152
59,0.11682019777608012,NO,59
60,0.0,NO,98
61,0.0,NO,363
62,0.0,NO,44
63,0.45666666666666655,NO,360
64,0.0,NO,82
65,0.0,NO,10
66,0.737,NO,393
67,0.01,NO,101
68,0.0,NO,76
69,0.0,NO,10
70,0.0,NO,12
71,0.0,NO,12
72,0.22066666666666662,NO,210
73,0.02,NO,40
74,0.0,NO,30
75,0.0,NO,75
76,0.0,NO,30
77,0.0,NO,11
78,0.0,NO,4
79,0.0,NO,27
80,0.053395316422608134,NO,15
81,0.01,NO,52
82,0.0,NO,70
83,0.01,NO,81
84,0.0,NO,119
85,0.01,NO,55
86,0.02,NO,14
87,0.053333333333333344,NO,506
88,0.05,NO,82
89,0.0,NO,5
90,0.0,NO,45
91,0.0,NO,54
92,0.0,NO,51
93,0.01,NO,79
94,0.0,NO,26
95,0.0,NO,27
96,0.22333333333333336,NO,114
97,0.25,NO,334
98,0.0,NO,111
99,0.0,NO,95
100,0.0,NO,10
101,0.55,NO,385
102,0.03,NO,182
103,0.0,NO,30
104,0.0,NO,68
105,0.0,NO,324
106,0.0,NO,7
107,0.04,NO,101
108,0.00909090909090909,NO,80
109,0.0,NO,47
110,0.02090909090909091,NO,63
111,0.0,NO,40
112,0.25096825396825395,NO,48
113,0.0,NO,34
114,0.05,NO,112
115,0.9119203929455477,NO,72
116,0.0,NO,27
117,0.0,NO,165
118,0.0,NO,28
119,0.0,NO,19
120,0.0,NO,161
121,0.0,NO,20
122,0.0,NO,194
123,0.0,NO,38
124,0.0,NO,212
125,0.0,NO,45
126,0.0,NO,107
127,0.0,NO,11
128,0.0,NO,22
129,0.0,NO,126
130,0.0,NO,191
131,0.0,NO,198
132,0.0,NO,65
133,0.62,NO,265
134,0.0,NO,44
135,0.0,NO,139
136,0.0,NO,29
137,0.0,NO,66
138,0.0,NO,6
139,0.0,NO,30
140,0.023333333333333334,NO,115
141,0.0,NO,5
142,0.0,NO,23
143,0.0,NO,20
144,0.01,NO,78
145,0.0,NO,54
146,0.0,NO,27
147,0.01,NO,91
148,0.01,NO,94
149,0.0,NO,75
150,0.0,NO,5
151,0.0,NO,26
152,0.0,NO,30
153,0.0,NO,32
154,0.07,NO,57
155,0.0,NO,31
156,0.01,NO,41
157,0.3204642857142857,NO,441
158,0.01,NO,19
159,0.0,NO,193
160,0.0,NO,11
161,0.0,NO,12
162,0.0,NO,31
163,0.77,NO,69
164,0.0,NO,33
165,0.01,NO,54
166,0.0,NO,54
167,0.0,NO,48
168,0.0,NO,66
169,0.0,NO,30
170,0.0,NO,50
171,0.01,NO,52
172,0.87,NO,117
173,0.0,NO,70
174,0.0,NO,10
175,0.0,NO,9
176,0.0,NO,9
177,0.03,NO,263
178,0.25096825396825395,NO,48
179,0.0,NO,36
180,0.56,NO,192
181,0.3462425213675213,NO,59
182,0.0,NO,27
183,0.11687188057041005,NO,62
184,0.521324215816863,NO,64
185,0.0,NO,30
186,0.01,NO,47
187,0.0,NO,107
188,0.79,NO,95
189,0.0,NO,47
190,0.0,NO,49
191,0.01,NO,56
192,0.18,NO,64
193,0.0,NO,86
194,0.0,NO,139
195,0.0,NO,85
196,0.09333333333333332,NO,85
197,0.6564495341260047,NO,65
198,0.0,NO,56
199,0.0,NO,9
200,0.5685589431208625,NO,69
