InstanceId,Size,PredictedClassProbability,ActualClassLabel
0,8,0.0,8
1,7,0.0,7
2,279,0.0,279
3,836,0.02,836
4,5,0.0,5
5,16,0.28470238095238093,16
6,36,0.69,36
7,14,0.31603571428571425,14
8,116,0.04,116
9,189,0.52,189
10,254,0.0,254
11,100,0.0,100
12,53,0.0,53
13,35,0.66,35
14,13,0.0025,13
15,8,0.0,8
16,7,0.0,7
17,5,0.0,5
18,409,0.02,409
19,235,0.0,235
20,125,0.61,125
21,4,0.0,4
22,5,0.0,5
23,42,0.76,42
24,29,0.27,29
25,5,0.0,5
26,152,0.0,152
27,648,0.02,648
28,178,0.07,178
29,418,0.0,418
30,7,0.0,7
31,7,0.0,7
32,32,0.01,32
33,76,0.0,76
34,154,0.0,154
35,36,0.05,36
36,363,0.0,363
37,194,0.0,194
38,47,0.0,47
39,36,0.12,36
40,123,0.27,123
41,181,0.0,181
42,149,0.01,149
43,58,0.0,58
44,98,0.0,98
45,335,0.0,335
46,44,0.01,44
47,358,0.0,358
48,82,0.0,82
49,15,0.3260357142857143,15
50,50,0.0,50
51,55,0.0,55
52,45,0.05,45
53,54,0.02,54
54,13,0.0425,13
55,80,0.0,80
56,27,0.01,27
57,70,0.06,70
58,10,0.02,10
59,167,0.24,167
60,143,0.56,143
61,30,0.05,30
62,5,0.0,5
63,74,0.0,74
64,66,0.0,66
65,17,0.019,17
66,27,0.28600000000000003,27
67,128,0.26,128
68,75,0.16,75
69,68,0.08,68
70,38,0.47,38
71,49,0.08,49
72,10,0.42,10
73,341,0.82,341
74,109,0.04,109
75,87,0.0,87
76,43,0.13,43
77,22,0.2806190476190476,22
78,10,0.02,10
79,12,0.02,12
80,12,0.02,12
81,46,0.0,46
82,8,0.0,8
83,336,0.0,336
84,168,0.5,168
85,57,0.16,57
86,29,0.42100000000000004,29
87,18,0.14791666666666667,18
88,7,0.0,7
89,4,0.0,4
90,27,0.106,27
91,72,0.39,72
92,70,0.28,70
93,62,0.0,62
94,30,0.37,30
95,49,0.05,49
96,69,0.02,69
97,46,0.03,46
98,52,0.0,52
99,61,0.0,61
100,135,0.26,135
101,91,0.2,91
102,9,0.03,9
103,36,0.32,36
104,62,0.04,62
