InstanceId,PredictedClassProbability,ActualClassLabel,Size
0,0.1441984126984127,NO,22
1,0.01,NO,44
2,0.0,NO,34
3,0.20998149644473177,NO,19
4,0.0,NO,8
5,0.0,NO,7
6,0.0,NO,326
7,0.48,NO,1152
8,0.0,NO,5
9,0.0,NO,16
10,0.0,NO,11
11,0.1687421695951108,NO,143
12,0.0,NO,4
13,0.07,NO,139
14,0.0,NO,16
15,0.0,NO,40
16,0.0,NO,16
17,0.0,NO,169
18,0.0,NO,168
19,0.0,NO,261
20,0.08,NO,275
21,0.0,NO,97
22,0.0,NO,12
23,0.0,NO,53
24,0.0,NO,35
25,0.0,NO,18
26,0.0,NO,13
27,0.0,NO,9
28,0.7251412476412478,NO,50
29,0.0,NO,6
30,0.0,NO,5
31,0.39,NO,728
32,0.3008026973026973,NO,261
33,0.05,NO,140
34,0.0,NO,4
35,0.0,NO,4
36,0.0,NO,5
37,0.11,NO,120
38,0.0,NO,5
39,0.0,NO,346
40,0.0,NO,652
41,0.02,NO,68
42,0.0,NO,363
43,0.02,NO,126
44,0.0,NO,7
45,0.0,NO,7
46,0.0,NO,31
47,0.02,NO,94
48,0.5175923609993301,NO,154
49,0.01,NO,75
50,0.01,NO,40
51,0.006666666666666666,NO,84
52,0.18154512154512153,NO,582
53,0.2236108058608059,NO,213
54,0.01625,NO,49
55,0.0,NO,36
56,0.00875,NO,144
57,0.47,NO,193
58,0.0,NO,152
59,0.2453462828021652,NO,59
60,0.0,NO,98
61,0.02,NO,363
62,0.0,NO,44
63,0.9066582963819806,NO,360
64,0.0,NO,82
65,0.0,NO,10
66,0.49320024420024416,NO,393
67,0.0077777777777777776,NO,101
68,0.0,NO,76
69,0.0,NO,10
70,0.0,NO,12
71,0.0,NO,12
72,0.16285714285714284,NO,210
73,0.09,NO,40
74,0.0,NO,30
75,0.01,NO,75
76,0.0,NO,30
77,0.0,NO,11
78,0.0,NO,4
79,0.0,NO,27
80,0.3766040225795004,NO,15
81,0.0,NO,52
82,0.01,NO,70
83,0.0,NO,81
84,0.0,NO,119
85,0.0,NO,55
86,0.0,NO,14
87,0.05,NO,506
88,0.03,NO,82
89,0.0,NO,5
90,0.0,NO,45
91,0.0,NO,54
92,0.0,NO,51
93,0.02,NO,79
94,0.0,NO,26
95,0.0,NO,27
96,0.11803174603174604,NO,114
97,0.1088888888888889,NO,334
98,0.01,NO,111
99,0.01,NO,95
100,0.0,NO,10
101,0.25,NO,385
102,0.0,NO,182
103,0.0,NO,30
104,0.009285714285714286,NO,68
105,0.0,NO,324
106,0.0,NO,7
107,0.12,NO,101
108,0.01,NO,80
109,0.0,NO,47
110,0.010882352941176471,NO,63
111,0.0,NO,40
112,0.7769923029327055,NO,48
113,0.0,NO,34
114,0.07633333333333332,NO,112
115,0.9495032904831666,NO,72
116,0.0,NO,27
117,0.0,NO,165
118,0.0,NO,28
119,0.0,NO,19
120,0.0,NO,161
121,0.0,NO,20
122,0.0,NO,194
123,0.0,NO,38
124,0.0,NO,212
125,0.0,NO,45
126,0.0,NO,107
127,0.0,NO,11
128,0.00875,NO,22
129,0.0,NO,126
130,0.0,NO,191
131,0.0,NO,198
132,0.0,NO,65
133,0.01,NO,265
134,0.0,NO,44
135,0.0,NO,139
136,0.0,NO,29
137,0.0,NO,66
138,0.0,NO,6
139,0.0,NO,30
140,0.0475,NO,115
141,0.0,NO,5
142,0.006,NO,23
143,0.0,NO,20
144,0.027888888888888887,NO,78
145,0.0,NO,54
146,0.0,NO,27
147,0.00909090909090909,NO,91
148,0.03,NO,94
149,0.0,NO,75
150,0.0,NO,5
151,0.0,NO,26
152,0.0,NO,30
153,0.0,NO,32
154,0.008238095238095237,NO,57
155,0.0,NO,31
156,0.05,NO,41
157,0.8123440089322441,NO,441
158,0.0,NO,19
159,0.0,NO,193
160,0.0,NO,11
161,0.0,NO,12
162,0.0,NO,31
163,0.184281340606418,NO,69
164,0.0,NO,33
165,0.0,NO,54
166,0.0,NO,54
167,0.0,NO,48
168,0.0,NO,66
169,0.0,NO,30
170,0.0,NO,50
171,0.0,NO,52
172,1.0,NO,117
173,0.0,NO,70
174,0.0,NO,10
175,0.0,NO,9
176,0.0,NO,9
177,0.0,NO,263
178,0.7769923029327055,NO,48
179,0.0,NO,36
180,0.01,NO,192
181,0.46313911153346127,NO,59
182,0.0,NO,27
183,0.5171834188343475,NO,62
184,0.239780632894797,NO,64
185,0.0,NO,30
186,0.0,NO,47
187,0.01888888888888889,NO,107
188,0.08481465919701214,NO,95
189,0.0,NO,47
190,0.0,NO,49
191,0.0,NO,56
192,0.0,NO,64
193,0.0,NO,86
194,0.01,NO,139
195,0.0,NO,85
196,0.11157142857142859,NO,85
197,0.6870286697840977,NO,65
198,0.0,NO,56
199,0.0,NO,9
200,0.009285714285714286,NO,69
