InstanceId,Size,PredictedClassProbability,ActualClassLabel
0,40,0.519546052459752,YES
1,28,0.0,NO
2,28,0.0,NO
3,449,0.05,YES
4,1383,0.3688888888888889,NO
5,25,0.0,NO
6,39,0.0,NO
7,50,0.0,NO
8,82,0.17,NO
9,41,0.22,NO
10,245,0.0,NO
11,227,0.23244227994227998,NO
12,363,0.28541666666666665,NO
13,407,0.4,NO
14,145,0.018642533936651585,NO
15,49,0.0,NO
16,85,0.0,NO
17,64,0.0,NO
18,36,0.0,NO
19,37,0.0,NO
20,83,0.21,NO
21,32,0.0,NO
22,26,0.0,NO
23,686,0.6188888888888888,YES
24,398,0.22,NO
25,206,0.3052010767010767,YES
26,24,0.0,NO
27,24,0.0,NO
28,27,0.0,NO
29,30,0.0,NO
30,428,0.03,NO
31,972,0.2870156510156511,NO
32,123,0.14633333333333332,NO
33,562,0.03541666666666666,NO
34,205,0.6223827561327562,NO
35,37,0.0,NO
36,35,0.0,NO
37,276,0.0,NO
38,316,0.0,NO
39,204,0.7083463178977885,NO
40,133,0.09183333333333334,NO
41,285,0.0,NO
42,336,0.0,NO
43,464,0.63,NO
44,294,0.04,NO
45,76,0.0,NO
46,69,0.0,NO
47,266,0.12433333333333334,NO
48,247,0.3267893217893218,NO
49,217,0.5,NO
50,99,0.0,NO
51,191,0.01,NO
52,476,0.71,NO
53,95,0.0,NO
54,550,0.17,NO
55,136,0.0075,NO
56,33,0.0,NO
57,483,0.59,YES
58,140,0.01,NO
59,111,0.12,NO
60,34,0.0,NO
61,39,0.0,NO
62,36,0.0,NO
63,210,0.48,YES
64,111,0.07,NO
65,57,0.0,NO
66,43,0.0,NO
67,27,0.0,NO
68,25,0.0,NO
69,53,0.0,NO
70,88,0.0,YES
71,107,0.0559253903990746,NO
72,132,0.24822693972693977,NO
73,169,0.06,NO
74,80,0.0,NO
75,29,0.0,NO
76,430,0.07,NO
77,162,0.1,NO
78,39,0.29,NO
79,79,0.0,NO
80,85,0.0,NO
81,110,0.03817813765182187,NO
82,111,0.06688888888888889,NO
83,53,0.25,NO
84,52,0.0,NO
85,154,0.3,NO
86,403,0.24,NO
87,183,0.1637903722094898,NO
88,215,0.19,NO
89,76,0.009230769230769232,NO
90,554,0.31833333333333336,YES
91,257,0.23,NO
92,55,0.0,NO
93,102,0.15019090631590634,NO
94,403,0.6,NO
95,35,0.0,NO
96,145,0.17666666666666667,YES
97,119,0.07,NO
98,108,0.28,NO
99,91,0.27,YES
100,69,0.0,NO
101,80,0.3,NO
102,63,0.0,NO
103,160,0.25,YES
104,98,0.0,YES
105,54,0.0,NO
106,267,0.01,NO
107,55,0.0,NO
108,46,0.018257575757575757,NO
109,226,0.02,NO
110,54,0.0,NO
111,270,0.00875,NO
112,74,0.0,NO
113,359,0.05,NO
114,78,0.0,NO
115,180,0.0,NO
116,57,0.06697586726998492,NO
117,50,0.0,NO
118,243,0.0,NO
119,254,0.0,NO
120,306,0.0,NO
121,139,0.03,NO
122,375,0.6,NO
123,75,0.24,NO
124,222,0.0775,NO
125,61,0.0,NO
126,98,0.02746031746031746,NO
127,28,0.0,NO
128,55,0.0,NO
129,194,0.14,NO
130,28,0.0,NO
131,50,0.0,NO
132,55,0.07,NO
133,124,0.43,NO
134,87,0.0,NO
135,65,0.06,NO
136,144,0.03,NO
137,134,0.01,NO
138,117,0.0,NO
139,28,0.0,NO
140,57,0.0,NO
141,60,0.0,NO
142,62,0.0,NO
143,89,0.12,NO
144,60,0.0,NO
145,68,0.13,NO
146,522,0.0,NO
147,43,0.0,NO
148,247,0.0175,NO
149,35,0.0,NO
150,42,0.0364976076555024,NO
151,57,0.0,NO
152,117,0.36,NO
153,61,0.0,NO
154,92,0.01,NO
155,93,0.0,NO
156,80,0.0,NO
157,101,0.0,NO
158,59,0.0,NO
159,84,0.05,NO
160,82,0.0,NO
161,172,0.14,NO
162,143,0.24696212121212122,NO
163,78,0.22,NO
164,66,0.26,NO
165,66,0.26,NO
166,85,0.03,NO
167,54,0.0,NO
168,77,0.4600675070543491,NO
169,137,0.3048572816072816,NO
170,130,0.17,NO
171,79,0.0,NO
172,76,0.009285714285714286,NO
173,81,0.0,NO
174,98,0.0,NO
175,115,0.05,NO
176,180,0.0,NO
177,118,0.0,NO
178,64,0.0,NO
179,95,0.0,NO
180,88,0.04,NO
181,51,0.0,NO
182,120,0.15033333333333335,NO
