InstanceId,Size,PredictedClassProbability,ActualClassLabel
0,215,8.865248226950355E-4,NO
1,271,8.865248226950355E-4,YES
2,458,8.865248226950355E-4,YES
3,137,2.958579881656805E-4,NO
4,357,8.865248226950355E-4,NO
5,1243,8.865248226950355E-4,YES
6,51,2.958579881656805E-4,NO
7,154,2.2192632046160677E-4,NO
8,31,1.479727730097662E-4,NO
9,934,8.865248226950355E-4,YES
10,180,0.999113475177305,NO
11,260,8.865248226950355E-4,NO
12,584,0.999113475177305,YES
13,40,4.4365572315882877E-4,NO
14,372,8.865248226950355E-4,NO
15,388,8.865248226950355E-4,NO
16,51,2.958579881656805E-4,NO
17,609,0.999113475177305,YES
18,32,1.7755681818181821E-4,NO
19,66,1.7755681818181821E-4,NO
20,180,0.999113475177305,YES
21,587,0.999113475177305,NO
22,164,0.999113475177305,NO
23,50,1.479727730097662E-4,NO
24,27,6.830601092896175E-5,NO
25,938,0.999113475177305,NO
26,60,0.3334319526627219,NO
27,62,1.1098779134295228E-4,NO
28,87,8.865248226950355E-4,NO
29,52,8.865248226950355E-4,NO
30,270,0.999113475177305,NO
31,163,4.4365572315882877E-4,NO
32,109,8.865248226950355E-4,NO
33,147,2.2192632046160677E-4,NO
34,58,9.865824782951856E-5,NO
35,44,4.4365572315882877E-4,NO
36,106,0.999113475177305,NO
37,151,8.865248226950355E-4,NO
38,352,8.865248226950355E-4,YES
39,715,8.865248226950355E-4,YES
40,876,8.865248226950355E-4,YES
41,356,0.999113475177305,YES
42,27,2.2192632046160677E-4,NO
43,55,4.4365572315882877E-4,NO
44,191,4.4365572315882877E-4,NO
45,90,2.958579881656805E-4,NO
46,271,8.865248226950355E-4,YES
47,137,8.865248226950355E-4,NO
48,79,2.958579881656805E-4,NO
49,82,8.865248226950355E-4,NO
50,147,2.2192632046160677E-4,NO
51,422,8.865248226950355E-4,YES
52,1030,8.865248226950355E-4,YES
53,529,0.999113475177305,NO
54,189,8.865248226950355E-4,YES
55,167,8.865248226950355E-4,YES
56,84,1.7755681818181821E-4,NO
57,195,8.865248226950355E-4,YES
58,374,8.865248226950355E-4,YES
59,126,8.865248226950355E-4,YES
60,106,8.865248226950355E-4,YES
61,109,2.958579881656805E-4,NO
62,85,2.2192632046160677E-4,NO
63,236,0.999113475177305,NO
64,314,8.865248226950355E-4,YES
65,813,8.865248226950355E-4,YES
66,27,6.830601092896175E-5,NO
67,89,2.958579881656805E-4,NO
68,300,8.865248226950355E-4,YES
69,166,8.865248226950355E-4,NO
70,92,0.16676531518200652,NO
71,492,0.999113475177305,YES
72,93,8.865248226950355E-4,NO
73,244,8.865248226950355E-4,NO
74,183,0.999113475177305,YES
75,250,8.865248226950355E-4,NO
76,109,2.958579881656805E-4,YES
77,602,8.865248226950355E-4,YES
78,565,8.865248226950355E-4,YES
79,69,0.5,NO
80,77,1.7755681818181821E-4,NO
81,97,0.999113475177305,NO
82,337,0.999113475177305,NO
83,214,4.4365572315882877E-4,NO
84,79,2.958579881656805E-4,NO
85,25,8.865248226950355E-4,NO
86,84,1.7755681818181821E-4,NO
87,34,2.958579881656805E-4,NO
