InstanceId,PredictedClassProbability,ActualClassLabel,Size
0,0.9993364299933644,NO,168
1,0.9993364299933644,NO,229
2,0.9993364299933644,NO,375
3,6.635700066357002E-4,NO,88
4,0.9993364299933644,NO,289
5,6.635700066357002E-4,NO,917
6,2.2138587558113794E-4,NO,21
7,6.635700066357002E-4,NO,19
8,6.635700066357002E-4,NO,114
9,5.5364854390432956E-5,NO,5
10,0.9993364299933644,NO,756
11,6.635700066357002E-4,NO,23
12,6.635700066357002E-4,NO,123
13,6.635700066357002E-4,NO,21
14,6.635700066357002E-4,NO,55
15,6.635700066357002E-4,NO,34
16,6.635700066357002E-4,NO,204
17,6.635700066357002E-4,NO,45
18,6.635700066357002E-4,NO,583
19,8.304268393954493E-5,NO,9
20,0.9993364299933644,NO,280
21,0.9993364299933644,NO,323
22,6.635700066357002E-4,NO,7
23,0.9993364299933644,NO,427
24,6.635700066357002E-4,NO,8
25,6.635700066357002E-4,NO,38
26,0.9993364299933644,NO,346
27,0.9993364299933644,NO,435
28,0.9993364299933644,NO,206
29,6.635700066357002E-4,NO,559
30,6.635700066357002E-4,NO,150
31,6.635700066357002E-4,NO,7
32,6.635700066357002E-4,NO,16
33,2.6576660376857047E-5,NO,4
34,6.635700066357002E-4,NO,111
35,2.2138587558113794E-4,NO,8
36,6.635700066357002E-4,NO,29
37,6.635700066357002E-4,NO,48
38,6.635700066357002E-4,NO,23
39,0.9993364299933644,NO,214
40,6.635700066357002E-4,NO,169
41,6.635700066357002E-4,NO,19
42,6.635700066357002E-4,NO,47
43,0.2000797130330809,NO,83
44,6.635700066357002E-4,NO,24
45,6.635700066357002E-4,NO,15
46,0.9993364299933644,NO,57
47,6.635700066357002E-4,NO,129
48,6.635700066357002E-4,NO,32
49,0.9993364299933644,NO,278
50,6.635700066357002E-4,NO,386
51,0.9993364299933644,NO,460
52,0.9993364299933644,NO,16
53,0.9993364299933644,NO,217
54,6.635700066357002E-4,NO,4
55,2.2138587558113794E-4,NO,30
56,6.635700066357002E-4,NO,61
57,6.635700066357002E-4,NO,115
58,6.635700066357002E-4,NO,15
59,6.635700066357002E-4,NO,17
60,0.9993364299933644,NO,181
61,0.9993364299933644,NO,77
62,6.635700066357002E-4,NO,38
63,6.635700066357002E-4,NO,39
64,6.635700066357002E-4,NO,77
65,0.9993364299933644,NO,278
66,6.635700066357002E-4,NO,617
67,6.635700066357002E-4,NO,350
68,6.635700066357002E-4,NO,131
69,0.9993364299933644,NO,127
70,6.635700066357002E-4,NO,52
71,0.9993364299933644,NO,127
72,0.9993364299933644,NO,298
73,0.9993364299933644,NO,417
74,6.635700066357002E-4,NO,83
75,0.9993364299933644,NO,119
76,6.635700066357002E-4,NO,68
77,1.328550551348479E-4,NO,47
78,0.9993364299933644,NO,90
79,6.635700066357002E-4,NO,136
80,6.635700066357002E-4,NO,8
81,6.635700066357002E-4,NO,395
82,2.6576660376857047E-5,NO,4
83,7.381708127260648E-5,NO,44
84,0.9993364299933644,NO,329
85,6.635700066357002E-4,NO,111
86,6.635700066357002E-4,NO,57
87,0.9993364299933644,NO,319
88,6.635700066357002E-4,NO,58
89,6.635700066357002E-4,NO,126
90,6.635700066357002E-4,NO,46
91,0.9993364299933644,NO,136
92,6.635700066357002E-4,NO,25
93,0.9993364299933644,NO,485
94,0.9993364299933644,NO,462
95,7.381708127260648E-5,NO,42
96,6.635700066357002E-4,NO,43
97,6.635700066357002E-4,NO,66
98,6.635700066357002E-4,NO,290
99,6.635700066357002E-4,NO,143
100,6.635700066357002E-4,NO,13
101,6.635700066357002E-4,NO,4
102,6.635700066357002E-4,NO,31
103,6.635700066357002E-4,NO,13
104,6.635700066357002E-4,NO,12
105,6.635700066357002E-4,NO,20
106,6.635700066357002E-4,NO,20
107,6.635700066357002E-4,NO,22
108,6.635700066357002E-4,NO,89
109,6.635700066357002E-4,NO,108
110,6.635700066357002E-4,NO,51
111,6.635700066357002E-4,NO,71
112,6.635700066357002E-4,NO,6
113,6.635700066357002E-4,NO,8
114,6.635700066357002E-4,NO,22
115,6.635700066357002E-4,NO,564
116,6.635700066357002E-4,NO,12
117,6.635700066357002E-4,NO,94
118,6.635700066357002E-4,NO,135
119,6.635700066357002E-4,NO,7
120,6.635700066357002E-4,NO,143
121,6.635700066357002E-4,NO,249
122,6.635700066357002E-4,NO,150
123,6.635700066357002E-4,NO,151
124,6.635700066357002E-4,NO,197
125,6.635700066357002E-4,NO,56
126,6.635700066357002E-4,NO,261
127,0.9993364299933644,NO,266
128,0.2000797130330809,NO,50
129,6.03974149906384E-5,NO,9
130,6.635700066357002E-4,NO,63
131,6.635700066357002E-4,NO,3670
132,0.9993364299933644,NO,638
133,6.635700066357002E-4,NO,23
134,1.328550551348479E-4,NO,68
135,0.9993364299933644,NO,409
136,0.9993364299933644,NO,212
137,6.635700066357002E-4,NO,202
138,6.635700066357002E-4,NO,95
139,6.635700066357002E-4,NO,20
140,6.635700066357002E-4,NO,33
141,0.9993364299933644,NO,279
142,6.635700066357002E-4,NO,104
143,6.635700066357002E-4,NO,84
144,6.635700066357002E-4,NO,39
145,6.635700066357002E-4,NO,16
