InstanceId,Size,PredictedClassProbability,ActualClassLabel
0,168,1.0165700925078785E-4,168
1,227,5.078720162519046E-4,227
2,373,5.078720162519046E-4,373
3,87,7.261636772928619E-5,87
4,288,5.078720162519046E-4,288
5,895,0.9994921279837481,895
6,21,0.03896408292618513,21
7,111,1.6940538709130952E-4,111
8,5,0.03896408292618513,5
9,693,5.078720162519046E-4,693
10,121,5.078720162519046E-4,121
11,202,5.078720162519046E-4,202
12,387,0.9994921279837481,387
13,9,0.03896408292618513,9
14,269,5.078720162519046E-4,269
15,322,5.078720162519046E-4,322
16,7,0.03896408292618513,7
17,404,5.078720162519046E-4,404
18,8,0.02704002418213545,8
19,39,0.10528428093645485,39
20,112,5.078720162519046E-4,112
21,366,5.078720162519046E-4,366
22,112,0.9994921279837481,112
23,16,0.08336863509277302,16
24,4,0.03896408292618513,4
25,718,0.9994921279837481,718
26,10,0.03896408292618513,10
27,29,5.0833672224481496E-5,29
28,48,5.0833672224481496E-5,48
29,23,0.19049117625699002,23
30,160,5.078720162519046E-4,160
31,133,7.261636772928619E-5,133
32,18,1.6940538709130952E-4,18
33,83,1.0165700925078785E-4,83
34,24,0.19049117625699002,24
35,15,0.11765849282296652,15
36,57,0.9994921279837481,57
37,32,0.9994921279837481,32
38,278,5.078720162519046E-4,278
39,275,0.9994921279837481,275
40,460,0.9994921279837481,460
41,239,5.078720162519046E-4,239
42,4,5.078720162519046E-4,4
43,30,0.03896408292618513,30
44,115,2.5406504065040653E-4,115
45,15,0.03896408292618513,15
46,181,5.078720162519046E-4,181
47,62,0.1429090116912352,62
48,27,0.03896408292618513,27
49,39,0.11765849282296652,39
50,77,4.621285641665511E-5,77
51,278,1.6940538709130952E-4,278
52,592,0.9994921279837481,592
53,350,0.9994921279837481,350
54,116,7.261636772928619E-5,116
55,104,0.9994921279837481,104
56,51,0.05558065973791234,51
57,115,0.9994921279837481,115
58,279,5.078720162519046E-4,279
59,83,7.261636772928619E-5,83
60,65,0.9994921279837481,65
61,68,0.047640949914062314,68
62,47,0.05558065973791234,47
63,89,0.20003050020333468,89
64,89,3.3890263327346056E-5,89
65,277,5.078720162519046E-4,277
66,4,0.03896408292618513,4
67,44,0.19049117625699002,44
68,181,0.9994921279837481,181
69,111,0.9994921279837481,111
70,57,4.621285641665511E-5,57
71,331,5.078720162519046E-4,331
72,58,5.0833672224481496E-5,58
73,126,1.6940538709130952E-4,126
74,43,0.9994921279837481,43
75,134,5.078720162519046E-4,134
76,25,0.08336863509277302,25
77,474,0.9994921279837481,474
78,462,5.078720162519046E-4,462
79,42,2.5406504065040653E-4,42
80,43,0.02704002418213545,43
81,66,0.9994921279837481,66
82,285,2.5406504065040653E-4,285
83,143,7.261636772928619E-5,143
84,13,0.05558065973791234,13
85,4,0.03896408292618513,4
86,31,0.10528428093645485,31
87,13,0.03896408292618513,13
88,12,0.05558065973791234,12
89,20,0.03896408292618513,20
90,20,0.03896408292618513,20
91,22,0.03896408292618513,22
92,89,1.2706480304955527E-4,89
93,107,7.261636772928619E-5,107
94,170,5.078720162519046E-4,170
95,143,7.261636772928619E-5,143
96,217,0.9994921279837481,217
