InstanceId,PredictedClassProbability,ActualClassLabel,Size
0,0.9998592906110556,NO,168
1,0.9998592906110556,NO,229
2,0.9998592906110556,NO,375
3,0.001403539049247579,NO,88
4,0.9998592906110556,NO,289
5,0.001403539049247579,NO,917
6,4.68723512085877E-4,NO,21
7,0.001403539049247579,NO,19
8,0.001403539049247579,NO,114
9,1.172633241371619E-4,NO,5
10,0.9998592906110556,NO,756
11,0.001403539049247579,NO,23
12,0.001403539049247579,NO,123
13,0.001403539049247579,NO,21
14,0.001403539049247579,NO,55
15,0.001403539049247579,NO,34
16,0.001403539049247579,NO,204
17,0.001403539049247579,NO,45
18,0.001403539049247579,NO,583
19,1.7587436259335464E-4,NO,9
20,0.9998592906110556,NO,280
21,0.9998592906110556,NO,323
22,0.001403539049247579,NO,7
23,0.9998592906110556,NO,427
24,0.001403539049247579,NO,8
25,0.001403539049247579,NO,38
26,0.9998592906110556,NO,346
27,0.9998592906110556,NO,435
28,0.9998592906110556,NO,206
29,0.001403539049247579,NO,559
30,0.001403539049247579,NO,150
31,0.001403539049247579,NO,7
32,0.001403539049247579,NO,16
33,5.629326076611701E-5,NO,4
34,0.001403539049247579,NO,111
35,4.68723512085877E-4,NO,8
36,0.001403539049247579,NO,29
37,0.001403539049247579,NO,48
38,0.001403539049247579,NO,23
39,0.9998592906110556,NO,214
40,0.001403539049247579,NO,169
41,0.001403539049247579,NO,19
42,0.001403539049247579,NO,47
43,0.7142426365192928,NO,83
44,0.001403539049247579,NO,24
45,0.001403539049247579,NO,15
46,0.9998592906110556,NO,57
47,0.001403539049247579,NO,129
48,0.001403539049247579,NO,32
49,0.9998592906110556,NO,278
50,0.001403539049247579,NO,386
51,0.9998592906110556,NO,460
52,0.9998592906110556,NO,16
53,0.9998592906110556,NO,217
54,0.001403539049247579,NO,4
55,4.68723512085877E-4,NO,30
56,0.001403539049247579,NO,61
57,0.001403539049247579,NO,115
58,0.001403539049247579,NO,15
59,0.001403539049247579,NO,17
60,0.9998592906110556,NO,181
61,0.9998592906110556,NO,77
62,0.001403539049247579,NO,38
63,0.001403539049247579,NO,39
64,0.001403539049247579,NO,77
65,0.9998592906110556,NO,278
66,0.001403539049247579,NO,617
67,0.001403539049247579,NO,350
68,0.001403539049247579,NO,131
69,0.9998592906110556,NO,127
70,0.001403539049247579,NO,52
71,0.9998592906110556,NO,127
72,0.9998592906110556,NO,298
73,0.9998592906110556,NO,417
74,0.001403539049247579,NO,83
75,0.9998592906110556,NO,119
76,0.001403539049247579,NO,68
77,2.8133960364121224E-4,NO,47
78,0.9998592906110556,NO,90
79,0.001403539049247579,NO,136
80,0.001403539049247579,NO,8
81,0.001403539049247579,NO,395
82,5.629326076611701E-5,NO,4
83,1.5633887697194545E-4,NO,44
84,0.9998592906110556,NO,329
85,0.001403539049247579,NO,111
86,0.001403539049247579,NO,57
87,0.9998592906110556,NO,319
88,0.001403539049247579,NO,58
89,0.001403539049247579,NO,126
90,0.001403539049247579,NO,46
91,0.9998592906110556,NO,136
92,0.001403539049247579,NO,25
93,0.9998592906110556,NO,485
94,0.9998592906110556,NO,462
95,1.5633887697194545E-4,NO,42
96,0.001403539049247579,NO,43
97,0.001403539049247579,NO,66
98,0.001403539049247579,NO,290
99,0.001403539049247579,NO,143
100,0.001403539049247579,NO,13
101,0.001403539049247579,NO,4
102,0.001403539049247579,NO,31
103,0.001403539049247579,NO,13
104,0.001403539049247579,NO,12
105,0.001403539049247579,NO,20
106,0.001403539049247579,NO,20
107,0.001403539049247579,NO,22
108,0.001403539049247579,NO,89
109,0.001403539049247579,NO,108
110,0.001403539049247579,NO,51
111,0.001403539049247579,NO,71
112,0.001403539049247579,NO,6
113,0.001403539049247579,NO,8
114,0.001403539049247579,NO,22
115,0.001403539049247579,NO,564
116,0.001403539049247579,NO,12
117,0.001403539049247579,NO,94
118,0.001403539049247579,NO,135
119,0.001403539049247579,NO,7
120,0.001403539049247579,NO,143
121,0.001403539049247579,NO,249
122,0.001403539049247579,NO,150
123,0.001403539049247579,NO,151
124,0.001403539049247579,NO,197
125,0.001403539049247579,NO,56
126,0.001403539049247579,NO,261
127,0.9998592906110556,NO,266
128,0.7142426365192928,NO,50
129,1.2792089898056914E-4,NO,9
130,0.001403539049247579,NO,63
131,0.001403539049247579,NO,3670
132,0.9998592906110556,NO,638
133,0.001403539049247579,NO,23
134,2.8133960364121224E-4,NO,68
135,0.9998592906110556,NO,409
136,0.9998592906110556,NO,212
137,0.001403539049247579,NO,202
138,0.001403539049247579,NO,95
139,0.001403539049247579,NO,20
140,0.001403539049247579,NO,33
141,0.9998592906110556,NO,279
142,0.001403539049247579,NO,104
143,0.001403539049247579,NO,84
144,0.001403539049247579,NO,39
145,0.001403539049247579,NO,16
146,0.001403539049247579,NO,19
147,0.001403539049247579,NO,101
148,0.001403539049247579,NO,30
149,0.001403539049247579,NO,396
150,0.001403539049247579,NO,40
151,0.001403539049247579,NO,196
152,2.344716584221587E-4,NO,22
153,0.001403539049247579,NO,20
154,0.001403539049247579,NO,73
155,0.9998592906110556,NO,80
156,0.001403539049247579,NO,69
157,0.001403539049247579,NO,15
158,0.9998592906110556,NO,379
159,0.001403539049247579,NO,67
160,0.001403539049247579,NO,20
161,0.001403539049247579,NO,57
162,0.001403539049247579,NO,6
163,0.001403539049247579,NO,28
164,0.001403539049247579,NO,137
165,0.001403539049247579,NO,170
166,0.001403539049247579,NO,28
167,0.001403539049247579,NO,21
168,0.001403539049247579,NO,50
169,0.001403539049247579,NO,95
170,0.001403539049247579,NO,37
171,0.001403539049247579,NO,70
172,0.001403539049247579,NO,28
173,0.001403539049247579,NO,55
174,0.001403539049247579,NO,52
175,0.001403539049247579,NO,40
176,0.001403539049247579,NO,38
177,0.001403539049247579,NO,45
178,0.001403539049247579,NO,39
179,0.001403539049247579,NO,43
180,0.001403539049247579,NO,39
181,0.001403539049247579,NO,8
182,0.001403539049247579,NO,5
183,0.001403539049247579,NO,55
184,0.001403539049247579,NO,15
185,0.001403539049247579,NO,42
186,0.001403539049247579,NO,7
187,0.001403539049247579,NO,37
188,0.001403539049247579,NO,7
189,0.001403539049247579,NO,7
190,0.001403539049247579,NO,298
191,0.6249780118375219,NO,43
192,0.5263118911870217,NO,37
193,0.58822068591391,NO,67
194,2.344716584221587E-4,NO,76
195,1.7587436259335464E-4,NO,51
196,8.795264991291916E-5,NO,29
197,0.001403539049247579,NO,1447
198,3.516250415266086E-4,NO,89
199,2.344716584221587E-4,NO,50
200,1.7587436259335464E-4,NO,11
201,0.001403539049247579,NO,547
202,7.027558699293231E-4,NO,215
203,0.001403539049247579,NO,613
204,0.001403539049247579,NO,314
205,0.001403539049247579,NO,117
206,0.001403539049247579,NO,630
207,2.8133960364121224E-4,NO,90
208,0.001403539049247579,NO,996
209,4.68723512085877E-4,NO,115
210,0.001403539049247579,NO,136
211,1.0051478831705392E-4,NO,22
212,5.629326076611701E-5,NO,4
213,0.001403539049247579,NO,135
214,2.8133960364121224E-4,NO,35
215,4.68723512085877E-4,NO,52
216,0.9089862465371977,NO,381
217,0.001403539049247579,NO,145
218,0.7999662240435401,NO,25
219,0.5,NO,14
220,0.001403539049247579,NO,212
221,8.795264991291916E-5,NO,40
222,2.0098917186597956E-4,NO,32
223,0.001403539049247579,NO,254
224,0.001403539049247579,NO,36
225,4.68723512085877E-4,NO,97
226,0.001403539049247579,NO,446
227,1.5633887697194545E-4,NO,44
228,0.001403539049247579,NO,64
229,2.344716584221587E-4,NO,50
230,0.001403539049247579,NO,124
231,1.5633887697194545E-4,NO,44
232,7.027558699293231E-4,NO,215
233,2.0098917186597956E-4,NO,28
234,5.863853821849498E-5,NO,6
235,7.406744658820552E-5,NO,7
236,0.5,NO,14
237,2.344716584221587E-4,NO,50
238,0.001403539049247579,NO,98
239,7.027558699293231E-4,NO,100
240,7.027558699293231E-4,NO,137
241,0.3703838839544474,NO,24
242,4.68723512085877E-4,NO,109
243,7.027558699293231E-4,NO,76
244,1.0051478831705392E-4,NO,22
245,0.7142426365192928,NO,105
246,0.5555468687042979,NO,41
247,0.40816854089219895,NO,10
248,0.40816854089219895,NO,10
249,0.40816854089219895,NO,10
250,1.2792089898056914E-4,NO,9
251,0.40816854089219895,NO,10
252,0.40816854089219895,NO,10
253,0.7142426365192928,NO,83
254,3.516250415266086E-4,NO,52
255,3.516250415266086E-4,NO,63
256,4.68723512085877E-4,NO,44
257,0.6666353949800881,NO,40
258,2.8133960364121224E-4,NO,47
259,0.7142426365192928,NO,51
260,0.001403539049247579,NO,97
261,8.795264991291916E-5,NO,40
262,1.2792089898056914E-4,NO,9
263,2.0098917186597956E-4,NO,32
264,3.516250415266086E-4,NO,68
265,7.027558699293231E-4,NO,101
266,0.001403539049247579,NO,307
267,7.027558699293231E-4,NO,116
268,2.8133960364121224E-4,NO,23
269,1.2792089898056914E-4,NO,17
270,0.001403539049247579,NO,386
271,0.001403539049247579,NO,301
272,0.001403539049247579,NO,209
273,8.795264991291916E-5,NO,40
274,0.7142426365192928,NO,50
275,7.027558699293231E-4,NO,168
276,7.027558699293231E-4,NO,231
277,0.3703838839544474,NO,24
278,0.001403539049247579,NO,61
279,7.027558699293231E-4,NO,59
280,0.001403539049247579,NO,239
281,0.001403539049247579,NO,95
282,1.7587436259335464E-4,NO,26
283,0.001403539049247579,NO,269
284,0.001403539049247579,NO,195
285,4.68723512085877E-4,NO,26
286,7.027558699293231E-4,NO,1
287,1.2792089898056914E-4,NO,17
288,3.516250415266086E-4,NO,34
289,1.0051478831705392E-4,NO,22
290,7.027558699293231E-4,NO,3
291,1.2792089898056914E-4,NO,9
292,1.5633887697194545E-4,NO,44
293,1.2792089898056914E-4,NO,9
294,5.863853821849498E-5,NO,6
295,2.344716584221587E-4,NO,93
296,1.7587436259335464E-4,NO,26
297,0.3703838839544474,NO,24
298,0.001403539049247579,NO,61
299,2.344716584221587E-4,NO,76
300,0.5263118911870217,NO,18
301,0.5263118911870217,NO,18
302,8.795264991291916E-5,NO,29
303,7.406744658820552E-5,NO,7
304,5.863853821849498E-5,NO,6
305,7.027558699293231E-4,NO,194
306,7.027558699293231E-4,NO,15290
307,1.172633241371619E-4,NO,47
308,2.8133960364121224E-4,NO,90
309,1.407093889443203E-4,NO,39
310,0.7142426365192928,NO,65
311,0.001403539049247579,NO,354
312,7.027558699293231E-4,NO,335
313,0.001403539049247579,NO,847
314,2.344716584221587E-4,NO,69
315,0.001403539049247579,NO,247
316,7.027558699293231E-4,NO,86
317,4.68723512085877E-4,NO,62
318,0.001403539049247579,NO,68
319,2.8133960364121224E-4,NO,55
320,3.516250415266086E-4,NO,69
321,0.5,NO,14
322,0.001403539049247579,NO,297
323,2.0098917186597956E-4,NO,11
324,2.344716584221587E-4,NO,74
325,0.40816854089219895,NO,10
326,2.8133960364121224E-4,NO,55
327,5.863853821849498E-5,NO,6
328,5.863853821849498E-5,NO,6
329,1.0051478831705392E-4,NO,22
330,0.001403539049247579,NO,626
331,8.795264991291916E-5,NO,40
332,1.172633241371619E-4,NO,5
333,2.344716584221587E-4,NO,74
334,0.6249780118375219,NO,43
335,5.863853821849498E-5,NO,6
336,1.5633887697194545E-4,NO,21
337,5.629326076611701E-5,NO,4
338,3.516250415266086E-4,NO,63
339,3.516250415266086E-4,NO,169
340,7.027558699293231E-4,NO,138
341,3.516250415266086E-4,NO,75
342,1.172633241371619E-4,NO,5
343,5.629326076611701E-5,NO,4
344,1.2792089898056914E-4,NO,17
345,7.027558699293231E-4,NO,86
346,0.9523203203504522,NO,93
347,0.001403539049247579,NO,707
348,7.027558699293231E-4,NO,25
349,4.68723512085877E-4,NO,21
350,1.2792089898056914E-4,NO,16
351,0.001403539049247579,NO,663
352,0.001403539049247579,NO,401
353,4.68723512085877E-4,NO,46
354,1.7587436259335464E-4,NO,11
355,0.5263118911870217,NO,37
356,4.68723512085877E-4,NO,131
357,0.9089862465371977,NO,104
358,0.001403539049247579,NO,882
359,1.172633241371619E-4,NO,47
360,7.027558699293231E-4,NO,57
361,5.629326076611701E-5,NO,4
362,5.629326076611701E-5,NO,4
363,0.001403539049247579,NO,348
364,2.0098917186597956E-4,NO,32
365,8.795264991291916E-5,NO,29
366,1.2792089898056914E-4,NO,16
367,5.629326076611701E-5,NO,4
368,0.5263118911870217,NO,37
369,0.001403539049247579,NO,478
370,3.516250415266086E-4,NO,33
371,7.406744658820552E-5,NO,7
372,0.40816854089219895,NO,10
373,8.795264991291916E-5,NO,29
374,2.344716584221587E-4,NO,27
375,4.68723512085877E-4,NO,85
376,7.027558699293231E-4,NO,134
377,0.9090385711189328,NO,42
378,1.172633241371619E-4,NO,13
379,0.001403539049247579,NO,31
380,2.8133960364121224E-4,NO,35
381,0.001403539049247579,NO,78
382,0.9090385711189328,NO,42
383,7.027558699293231E-4,NO,58
384,0.5555468687042979,NO,41
385,0.5,NO,14
386,8.795264991291916E-5,NO,40
387,1.7587436259335464E-4,NO,51
388,4.68723512085877E-4,NO,285
389,0.3703838839544474,NO,24
390,0.001403539049247579,NO,605
391,1.5633887697194545E-4,NO,42
392,0.7142426365192928,NO,83
393,7.027558699293231E-4,NO,138
394,7.027558699293231E-4,NO,101
395,7.406744658820552E-5,NO,7
396,1.2792089898056914E-4,NO,17
397,0.001403539049247579,NO,174
398,0.7142426365192928,NO,105
399,4.68723512085877E-4,NO,77
400,0.6666353949800881,NO,16
401,0.001403539049247579,NO,284
402,2.0098917186597956E-4,NO,14
403,7.406744658820552E-5,NO,7
404,2.8133960364121224E-4,NO,30
405,0.001403539049247579,NO,242
406,0.001403539049247579,NO,258
407,1.7587436259335464E-4,NO,62
408,1.172633241371619E-4,NO,13
409,0.58822068591391,NO,67
410,4.68723512085877E-4,NO,77
411,0.001403539049247579,NO,170
412,0.001403539049247579,NO,397
