InstanceId,Size,PredictedClassProbability,ActualClassLabel
0,215,0.6022006925965614,NO
1,271,0.6154396707828895,NO
2,458,0.4675318189495459,NO
3,137,0.5545741529584282,NO
4,357,0.6341797775365657,NO
5,1242,1.0,YES
6,51,0.4778428068759864,NO
7,154,0.537658991505605,NO
8,31,0.4778428068759864,NO
9,928,0.9124581488003779,NO
10,180,0.5819915588549862,NO
11,260,0.9141512872582442,NO
12,551,0.9986073145761477,NO
13,40,0.4778428068759864,NO
14,361,0.6275952706129758,NO
15,388,0.8968541058562571,NO
16,51,0.4332215094472868,NO
17,577,0.9999998952474946,NO
18,32,0.4778428068759864,NO
19,66,0.5198119645250014,NO
20,188,0.9999831258494555,NO
21,582,0.9998849571379556,NO
22,158,0.537658991505605,NO
23,50,0.4332215094472868,NO
24,27,0.4778428068759864,NO
25,928,0.9999961686010979,NO
26,60,0.4778428068759864,NO
27,62,0.4332215094472868,NO
28,87,0.4748354887286632,NO
29,52,0.4332215094472868,NO
30,268,0.9264086322008122,NO
31,163,0.5819915588549862,NO
32,109,0.5097830531718627,NO
33,147,0.5545741529584282,NO
34,58,0.12167043694777144,NO
35,44,0.4332215094472868,NO
36,106,0.525009773788292,NO
37,139,0.5545741529584282,NO
38,326,0.7603549950267146,YES
39,648,0.9999999980620369,YES
40,778,0.9999999999999032,NO
41,314,0.9021597867971842,NO
42,55,0.4778428068759864,NO
43,191,0.537658991505605,NO
44,90,0.5531198563965598,NO
45,273,0.8425603111324987,NO
46,137,0.8723583128350626,NO
47,79,0.6962838828746036,NO
48,82,0.4748354887286632,NO
49,147,0.9712658987496454,NO
50,422,0.8206447086888817,NO
51,978,0.9999999998467846,NO
52,467,0.9999999254707842,NO
53,189,0.9025713614223013,NO
54,153,0.7211137356316719,YES
55,84,0.5198119645250014,NO
56,182,0.9928927106020868,NO
57,358,0.999999999994321,NO
58,126,0.8723583128350626,NO
59,106,0.0021916609143920753,NO
60,109,0.5873847908252399,NO
61,85,0.5198119645250014,NO
62,236,0.9724518424867006,NO
63,314,0.8165352380395563,NO
64,694,0.9998093233099785,YES
65,27,0.4778428068759864,NO
66,89,0.4748354887286632,NO
67,301,0.9999402376958574,NO
68,153,0.9928927106020868,YES
69,92,0.8553908331237409,NO
70,466,0.994320928406121,YES
71,93,0.8553908331237409,NO
72,244,0.9938110620075107,NO
73,192,0.016416037145159764,NO
74,250,0.9167074634886662,NO
75,109,0.7075304489457505,NO
76,601,0.7044716629431466,NO
77,565,0.9999999999999687,NO
78,69,0.5732930603655071,NO
79,77,0.525009773788292,NO
80,94,0.525009773788292,NO
81,337,0.6787269307215749,NO
82,214,0.640856726366692,NO
83,79,0.525009773788292,NO
84,25,0.4332215094472868,NO
85,84,0.525009773788292,NO
86,34,0.4332215094472868,NO
87,33,0.4332215094472868,NO
88,104,0.525009773788292,NO
89,172,0.6213766934523858,NO
90,70,0.525009773788292,NO
91,140,0.55971439424845,NO
92,154,0.5870509994272859,NO
93,248,0.5799152603810823,NO
94,275,0.6695323001033484,NO
95,176,0.537658991505605,NO
96,624,0.9999999999999649,NO
97,91,0.4748354887286632,NO
98,58,0.4778428068759864,NO
99,132,0.5097830531718627,NO
100,4088,1.5584470081233826E-69,NO
101,558,0.373151555069454,NO
102,727,0.9999997463604214,NO
103,150,0.5178321928436447,NO
104,503,0.7905037019925965,YES
105,325,0.9969331364733824,NO
106,273,0.9997201907078407,YES
107,136,0.8879166210515611,NO
108,56,0.4332215094472868,NO
109,74,0.8680621319731923,NO
110,357,0.9999696647164479,YES
111,174,0.5819915588549862,NO
112,148,0.5545741529584282,NO
113,92,0.5198119645250014,NO
114,45,0.4411496510181129,NO
115,168,0.7586089109037493,NO
116,77,0.525009773788292,NO
117,664,0.4270897202086662,NO
118,88,0.4748354887286632,NO
119,260,0.9924446685187145,NO
120,54,0.4778428068759864,NO
121,48,0.4411496510181129,NO
122,140,0.4079955468424764,NO
123,152,0.5873103870399187,NO
124,39,0.4778428068759864,NO
125,131,0.55971439424845,NO
126,47,0.4332215094472868,NO
127,129,0.7960263582359569,NO
128,43,0.4332215094472868,NO
129,243,0.9264086322008122,NO
130,62,0.5317879065411563,NO
131,45,0.4332215094472868,NO
132,94,0.525009773788292,NO
133,72,0.5198119645250014,NO
134,42,0.4778428068759864,NO
135,48,0.4778428068759864,NO
136,89,0.15269369055700796,NO
137,380,0.9104308007392762,NO
138,138,0.5178321928436447,NO
139,142,0.7301752031654262,NO
140,191,0.5456583529439247,NO
141,46,0.4778428068759864,NO
142,165,0.5819915588549862,NO
143,171,0.570772168533709,NO
144,56,0.4332215094472868,NO
145,179,0.8089096794945552,NO
146,74,0.5198119645250014,NO
147,36,0.4778428068759864,NO
148,37,0.4778428068759864,NO
149,34,0.4332215094472868,NO
150,34,0.4332215094472868,NO
151,38,0.4778428068759864,NO
152,39,0.4778428068759864,NO
153,156,0.5870509994272859,NO
154,84,0.525009773788292,NO
155,117,0.8832746597148804,NO
156,94,0.5510188795110089,NO
157,71,0.7351469628604002,NO
158,183,0.9996683012818159,NO
159,85,0.7351469628604002,NO
