InstanceId,PredictedClassProbability,ActualClassLabel,Size
0,0.11,NO,168
1,0.0,NO,227
2,0.0,NO,373
3,0.0,NO,87
4,0.0,NO,288
5,0.08,NO,895
6,0.0,NO,21
7,0.09,NO,111
8,0.0,NO,5
9,0.25,NO,693
10,0.5,NO,121
11,0.28,NO,202
12,0.34,NO,387
13,0.0,NO,9
14,0.36,NO,269
15,0.0,NO,322
16,0.0,NO,7
17,0.43,NO,404
18,0.0,NO,8
19,0.0,NO,39
20,0.4,NO,112
21,0.53,NO,366
22,0.44,NO,112
23,0.0,NO,16
24,0.0,NO,4
25,0.22,NO,718
26,0.08709145195571912,NO,10
27,0.0,NO,29
28,0.0,NO,48
29,0.006490915946798299,NO,23
30,0.55,NO,160
31,0.01,NO,133
32,0.004285714285714285,NO,18
33,0.0,NO,83
34,0.07763878377197801,NO,24
35,0.0,NO,15
36,0.04,NO,57
37,0.08,NO,32
38,0.07,NO,278
39,0.25,NO,275
40,0.38,NO,460
41,0.2,NO,239
42,0.0,NO,4
43,0.0,NO,30
44,0.0,NO,115
45,0.0,NO,15
46,0.02,NO,181
47,0.0,NO,62
48,0.0,NO,27
49,0.0,NO,39
50,0.0,NO,77
51,0.0,NO,278
52,0.34,NO,592
53,0.38,NO,350
54,0.0,NO,116
55,0.21,NO,104
56,0.0,NO,51
57,0.21,NO,115
58,0.37,NO,279
59,0.0,NO,83
60,0.07,NO,65
61,0.0,NO,68
62,0.0,NO,47
63,0.0,NO,89
64,0.08,NO,89
65,0.23,NO,277
66,0.0,NO,4
67,0.005,NO,44
68,0.37,NO,181
69,0.18,NO,111
70,0.0,NO,57
71,0.32,NO,331
72,0.0,NO,58
73,0.0,NO,126
74,0.11,NO,43
75,0.01,NO,134
76,0.47363095238095243,NO,25
77,0.11,NO,474
78,0.02,NO,462
79,0.0125,NO,42
80,0.24421031746031743,NO,43
81,0.2,NO,66
82,0.19,NO,285
83,0.0,NO,143
84,0.0,NO,13
85,0.0,NO,4
86,0.0,NO,31
87,0.0,NO,13
88,0.0,NO,12
89,0.0,NO,20
90,0.0,NO,20
91,0.0,NO,22
92,0.0,NO,89
93,0.44,NO,107
94,0.46,NO,170
95,0.0,NO,143
96,0.23,NO,217
97,0.0,NO,62
98,0.06,NO,493
99,0.49,NO,52
100,0.02,NO,9
101,0.0,NO,59
102,0.0,NO,3670
103,0.17,NO,397
104,0.32,NO,540
105,0.0,NO,68
106,0.49,NO,407
107,0.1,NO,212
108,0.08,NO,200
109,0.0,NO,95
110,0.0,NO,20
111,0.01,NO,33
112,0.03,NO,276
113,0.0,NO,104
114,0.0,NO,84
115,0.0,NO,39
116,0.0,NO,16
117,0.0,NO,87
118,0.0,NO,30
119,0.0,NO,395
120,0.0,NO,40
121,0.09,NO,195
122,0.0,NO,22
123,0.0,NO,14
124,0.14,NO,69
125,0.0,NO,69
126,0.0,NO,15
127,0.22588924963924956,NO,67
128,0.0,NO,20
129,0.0,NO,57
130,0.0,NO,6
131,0.19766666666666666,NO,137
132,0.0,NO,28
133,0.0,NO,21
134,0.0,NO,48
135,0.0,NO,28
136,0.0,NO,6
137,0.0,NO,7
138,0.0,NO,14
139,0.0,NO,50
140,0.0,NO,95
141,0.07,NO,94
142,0.0,NO,137
143,0.07763878377197801,NO,24
144,0.06,NO,109
145,0.0,NO,76
146,0.0,NO,22
147,0.03,NO,105
148,0.13509974747474748,NO,41
149,0.08709145195571912,NO,10
150,0.08709145195571912,NO,10
151,0.08709145195571912,NO,10
152,0.0,NO,9
153,0.08709145195571912,NO,10
154,0.08709145195571912,NO,10
155,0.0,NO,83
156,0.14,NO,52
157,0.0,NO,63
158,0.005,NO,44
159,0.0,NO,40
160,0.0,NO,47
161,0.0,NO,51
162,0.0,NO,97
163,0.0,NO,40
164,0.0,NO,9
165,0.0,NO,32
166,0.01,NO,65
167,0.0,NO,101
168,0.0,NO,306
169,0.63,NO,114
170,0.006490915946798299,NO,23
171,0.0,NO,17
172,0.0,NO,386
173,0.0,NO,301
174,0.12,NO,209
175,0.0,NO,40
176,0.0,NO,50
177,0.0,NO,170
178,0.0,NO,231
179,0.07763878377197801,NO,24
180,0.18070436507936524,NO,61
181,0.0,NO,59
182,0.0,NO,239
183,0.0,NO,95
184,0.0,NO,26
185,0.0,NO,269
186,0.0,NO,195
187,0.0,NO,26
188,0.0,NO,1
189,0.0,NO,17
190,0.0,NO,34
191,0.0,NO,22
192,0.0,NO,3
193,0.0,NO,9
194,0.005,NO,44
