InstanceId,PredictedClassProbability,ActualClassLabel,Size
0,0.48,NO,168
1,0.32,NO,229
2,0.4,NO,375
3,0.47,NO,88
4,0.34,NO,289
5,0.86,NO,917
6,0.0686306251289043,NO,21
7,0.0,NO,19
8,0.54,NO,114
9,0.021902101650417356,NO,5
10,0.99,NO,756
11,0.34,NO,23
12,0.42,NO,123
13,0.06,NO,21
14,0.4,NO,55
15,0.1,NO,34
16,0.77,NO,204
17,0.1,NO,45
18,0.89,NO,583
19,0.0686306251289043,NO,9
20,0.78,NO,280
21,0.34,NO,323
22,0.34,NO,7
23,0.95,NO,427
24,0.0,NO,8
25,0.31,NO,38
26,0.35,NO,346
27,0.74,NO,435
28,0.55,NO,206
29,0.98,NO,559
30,0.45,NO,150
31,0.0,NO,7
32,0.4,NO,16
33,0.021902101650417356,NO,4
34,0.47,NO,111
35,0.0686306251289043,NO,8
36,0.46,NO,29
37,0.46,NO,48
38,0.31,NO,23
39,0.38,NO,214
40,0.47,NO,169
41,0.53,NO,19
42,0.17474162088864606,NO,47
43,0.0,NO,83
44,0.31,NO,24
45,0.3706960506514619,NO,15
46,0.91,NO,57
47,0.47,NO,129
48,0.34,NO,32
49,0.74,NO,278
50,0.98,NO,386
51,0.94,NO,460
52,0.74,NO,16
53,0.71,NO,217
54,0.34,NO,4
55,0.0686306251289043,NO,30
56,0.42,NO,61
57,0.75,NO,115
58,0.34,NO,15
59,0.17,NO,17
60,0.89,NO,181
61,0.52,NO,77
62,0.17474162088864606,NO,38
63,0.17474162088864606,NO,39
64,0.37,NO,77
65,0.74,NO,278
66,0.96,NO,617
67,0.92,NO,350
68,0.76,NO,131
69,0.54,NO,127
70,0.1,NO,52
71,1.0,NO,127
72,0.9,NO,298
73,0.4,NO,417
74,0.48,NO,83
75,0.99,NO,119
76,0.06,NO,68
77,0.137159257752911,NO,47
78,0.66,NO,90
79,0.67,NO,136
80,0.0,NO,8
81,0.5,NO,395
82,0.021902101650417356,NO,4
83,0.05863701216301875,NO,44
84,0.9,NO,329
85,0.48,NO,111
86,0.44,NO,57
87,0.33,NO,319
88,0.42,NO,58
89,0.46,NO,126
90,0.14,NO,46
91,0.39,NO,136
92,0.4,NO,25
93,0.71,NO,485
94,0.84,NO,462
95,0.02,NO,42
96,0.0,NO,43
97,0.01,NO,66
98,0.33,NO,290
99,0.1,NO,143
100,0.06,NO,13
101,0.0,NO,4
102,0.21916666666666665,NO,31
103,0.0,NO,13
104,0.1,NO,12
105,0.0,NO,20
106,0.34,NO,20
107,0.0,NO,22
108,0.08,NO,89
109,0.47,NO,108
110,0.06,NO,51
111,0.37,NO,71
112,0.0,NO,6
113,0.34,NO,8
114,0.14,NO,22
115,0.37,NO,564
116,0.34,NO,12
117,0.42,NO,94
118,0.48,NO,135
119,0.34,NO,7
120,0.03,NO,143
121,0.94,NO,249
122,0.72,NO,150
123,0.77,NO,151
124,0.38,NO,197
125,0.37,NO,56
126,0.96,NO,261
127,0.91,NO,266
128,0.25084400016154995,NO,50
129,0.021902101650417356,NO,9
130,0.06,NO,63
131,0.67,NO,3670
132,0.95,NO,638
133,0.17474162088864606,NO,23
134,0.137159257752911,NO,68
135,0.9,NO,409
136,0.71,NO,212
137,0.82,NO,202
138,0.4,NO,95
139,0.17474162088864606,NO,20
140,0.34,NO,33
141,0.87,NO,279
142,0.0,NO,104
143,0.4,NO,84
144,0.06,NO,39
145,0.34,NO,16
146,0.17474162088864606,NO,19
147,0.47,NO,101
148,0.17474162088864606,NO,30
149,0.34,NO,396
150,0.48,NO,40
