InstanceId,Size,PredictedClassProbability,ActualClassLabel
0,215,0.07,215
1,271,0.0,271
2,458,0.0,458
3,137,0.0,137
4,357,0.05,357
5,1243,0.32,1243
6,51,0.0,51
7,154,0.0,154
8,31,0.0,31
9,934,0.61,934
10,180,0.9,180
11,260,0.0,260
12,584,0.83,584
13,40,0.0,40
14,372,0.64,372
15,388,0.02,388
16,51,0.0,51
17,609,0.7,609
18,32,0.0,32
19,66,0.0,66
20,180,0.46,180
21,587,0.83,587
22,164,0.56,164
23,50,0.0,50
24,27,0.0,27
25,938,0.58,938
26,60,0.8360732323232324,60
27,62,0.012380952380952381,62
28,87,0.0,87
29,52,0.0,52
30,270,0.63,270
31,163,0.3637976190476191,163
32,109,0.32,109
33,147,0.09625457875457874,147
34,58,0.0,58
35,44,0.2553968253968254,44
36,106,0.21,106
37,151,0.17,151
38,352,0.27,352
39,715,0.66,715
40,876,0.59,876
41,356,0.49,356
42,27,0.0,27
43,55,0.0,55
44,191,0.0,191
45,90,0.034666666666666665,90
46,271,0.0,271
47,137,0.02,137
48,79,0.12,79
49,82,0.17,82
50,147,0.09625457875457874,147
51,422,0.0,422
52,1030,0.51,1030
53,529,0.75,529
54,189,0.0,189
55,167,0.42,167
56,84,0.0,84
57,195,0.39,195
58,374,0.58,374
59,126,0.0,126
60,106,0.07833333333333335,106
61,109,0.0,109
62,85,0.0,85
63,236,0.0,236
64,314,0.14,314
65,813,0.72,813
66,27,0.0,27
67,89,0.008,89
68,300,0.52,300
69,166,0.2,166
70,92,0.6886135531135532,92
71,492,0.44,492
72,93,0.5076165223665224,93
73,244,0.0,244
74,183,0.34,183
75,250,0.0,250
76,109,0.0,109
77,602,0.59,602
78,565,0.06,565
79,69,0.8885992063492062,69
80,77,0.11,77
81,97,0.3,97
82,337,0.98,337
83,214,0.0,214
84,79,0.12,79
85,25,0.0,25
86,84,0.0,84
87,34,0.0,34
88,33,0.0,33
89,104,0.569327256077256,104
90,172,0.0,172
91,70,0.1,70
92,140,0.0,140
93,154,0.0,154
94,356,0.83,356
95,248,0.0,248
96,276,0.55,276
97,176,0.0,176
98,637,0.24,637
99,86,0.27,86
100,53,0.01,53
101,132,0.0,132
102,4088,0.0,4088
103,577,0.5,577
104,758,0.84,758
105,101,0.06,101
106,515,0.82,515
107,327,0.28,327
108,273,0.01,273
109,136,0.0,136
110,56,0.0,56
111,74,0.0,74
112,359,0.06,359
113,174,0.0,174
114,148,0.7994902042402042,148
115,92,0.6886135531135532,92
116,45,0.7123279220779221,45
117,168,0.013999999999999999,168
118,77,0.11,77
119,664,0.0,664
120,88,0.0,88
121,261,0.04,261
122,54,0.0,54
123,51,0.03,51
124,140,0.5,140
125,152,0.013928571428571427,152
126,39,0.027000000000000003,39
127,131,0.0,131
128,47,0.0,47
129,129,0.0,129
130,43,0.0,43
131,257,0.2902857142857143,257
132,62,0.012380952380952381,62
133,45,0.7123279220779221,45
134,94,0.7762763625263625,94
135,72,0.0,72
136,42,0.0,42
137,48,0.0,48
138,89,0.008,89
139,380,0.02,380
140,138,0.0,138
141,142,0.0,142
142,191,0.0,191
143,46,0.0,46
144,165,0.08446428571428573,165
145,171,0.0,171
146,56,0.0,56
147,179,0.0,179
148,74,0.0,74
149,36,0.0,36
150,37,0.006666666666666665,37
151,34,0.0,34
152,34,0.0,34
153,38,0.7024462481962483,38
154,39,0.027000000000000003,39
155,156,0.0,156
156,84,0.0,84
157,117,0.0,117
158,94,0.7762763625263625,94
159,71,0.01,71
160,183,0.0,183
161,85,0.0,85
162,183,0.0,183
163,70,0.1,70
164,54,0.0,54
165,160,0.32889285714285715,160
166,125,0.63,125
167,151,0.02526190476190476,151
168,421,0.0,421
169,219,0.0,219
170,50,0.0,50
171,42,0.0,42
172,624,0.0,624
173,377,0.04,377
174,382,0.62,382
175,72,0.0,72
176,92,0.6886135531135532,92
177,284,0.0,284
178,371,0.21,371
179,47,0.0,47
180,108,0.0,108
181,111,0.0,111
182,319,0.0,319
183,129,0.0,129
184,49,0.0,49
185,358,0.05,358
186,277,0.0,277
187,49,0.0,49
188,89,0.008,89
189,41,0.0,41
190,66,0.0,66
191,63,0.5735309967809968,63
192,24,0.0,24
193,50,0.0,50
194,72,0.0,72
195,47,0.0,47
196,47,0.0,47
197,183,0.0,183
198,49,0.0,49
199,50,0.0,50
200,98,0.6105399045399046,98
201,143,0.0,143
202,43,0.0,43
203,42,0.0,42
204,56,0.0,56
205,44,0.2553968253968254,44
206,26,0.0,26
207,254,0.0,254
208,16883,0.0,16883
209,74,0.0,74
210,153,0.013928571428571427,153
211,68,0.606563492063492,68
212,100,0.04399711399711399,100
213,549,0.0,549
214,437,0.0,437
215,1033,0.0,1033
216,101,0.004545454545454545,101
217,331,0.02,331
218,123,0.0,123
219,106,0.04434731934731935,106
220,106,0.018333333333333337,106
221,93,0.5076165223665224,93
222,101,0.004545454545454545,101
223,38,0.7024462481962483,38
224,584,0.0,584
225,32,0.0,32
226,111,0.0,111
227,35,0.0,35
228,90,0.034666666666666665,90
229,27,0.0,27
230,28,0.0,28
231,92,0.6886135531135532,92
232,907,0.26,907
233,67,0.03,67
234,29,0.0,29
235,105,0.949436840936841,105
236,72,0.0,72
237,37,0.006666666666666665,37
238,47,0.0,47
239,31,0.0,31
240,90,0.034666666666666665,90
241,223,0.0,223
242,214,0.0,214
243,107,0.0,107
244,37,0.006666666666666665,37
245,27,0.0,27
246,48,0.0,48
247,166,0.08446428571428573,166
248,213,0.0,213
249,866,0.0,866
250,159,0.29014285714285715,159
251,100,0.04399711399711399,100
252,96,0.8969484126984126,96
253,841,0.0,841
254,525,0.54,525
255,83,0.0,83
256,63,0.5735309967809968,63
257,76,0.01,76
258,202,0.0,202
259,155,0.0,155
260,1262,0.0,1262
261,74,0.0,74
262,101,0.004545454545454545,101
263,27,0.0,27
264,22,0.0,22
265,489,0.0,489
266,62,0.012380952380952381,62
267,59,0.37525685425685423,59
268,99,0.1555840548340548,99
269,27,0.0,27
270,77,0.11,77
271,862,0.73,862
272,64,0.07024783549783549,64
273,45,0.7123279220779221,45
274,63,0.5735309967809968,63
275,54,0.0,54
276,64,0.07024783549783549,64
277,132,0.0,132
278,177,0.58,177
279,70,0.1,70
280,36,0.0,36
281,58,0.0,58
282,62,0.012380952380952381,62
283,132,0.0,132
284,74,0.0,74
285,83,0.0,83
286,74,0.0,74
287,48,0.0,48
288,74,0.0,74
289,86,0.0,86
290,355,0.05,355
291,53,0.0,53
292,798,0.0,798
293,75,0.0,75
294,125,0.0,125
295,200,0.0,200
296,134,0.0,134
297,57,0.0,57
298,123,0.0,123
299,204,0.0,204
300,162,0.8974880952380953,162
301,130,0.0,130
302,108,0.0,108
303,353,0.05,353
304,80,0.53,80
305,28,0.0,28
306,57,0.0,57
307,306,0.0,306
308,340,0.02,340
309,103,0.1330227272727273,103
310,35,0.0,35
311,98,0.6105399045399046,98
312,117,0.0,117
313,83,0.01,83
314,83,0.01,83
315,192,0.92,192
316,94,0.8170746753246754,94
317,90,1.0,90
318,573,0.86,573
319,47,0.0,47
320,142,1.0,142
321,152,0.23588023088023086,152
322,31,0.0,31
323,60,0.062285714285714285,60
324,60,0.062285714285714285,60
325,876,0.07,876
326,61,0.09355952380952381,61
327,185,0.06,185
328,264,0.31,264
329,185,0.63,185
330,194,0.0,194
331,309,0.45,309
332,47,0.0,47
333,132,0.02,132
334,677,0.09,677
335,356,0.83,356
336,476,0.0,476
337,77,0.11,77
338,69,0.8885992063492062,69
339,104,0.569327256077256,104
340,115,0.0,115
341,421,0.0,421
342,61,0.02,61
343,2009,0.0,2009
344,179,0.0,179
345,106,0.04434731934731935,106
346,33,0.0,33
347,657,0.0,657
348,295,0.0,295
349,872,0.0,872
350,444,0.0,444
351,168,0.013999999999999999,168
352,752,0.0,752
353,135,0.0,135
354,1126,0.0,1126
355,163,0.3637976190476191,163
356,184,0.0,184
357,51,0.0,51
358,25,0.0,25
359,180,0.0,180
360,64,0.07024783549783549,64
361,101,0.004545454545454545,101
362,512,0.0,512
363,187,0.0,187
364,56,0.0,56
365,39,0.027000000000000003,39
366,261,0.0,261
367,73,0.0,73
368,65,0.0,65
369,329,0.02,329
370,64,0.07024783549783549,64
371,164,0.16029761904761905,164
372,624,0.0,624
373,74,0.0,74
374,117,0.0,117
375,84,0.0,84
376,226,0.0,226
377,76,0.01,76
378,323,0.02,323
