InstanceId,Size,PredictedClassProbability,ActualClassLabel
0,215,0.34,NO
1,271,0.28,YES
2,458,0.44,YES
3,137,0.17,NO
4,357,0.39,NO
5,1243,0.3,YES
6,51,0.0,NO
7,154,0.33,NO
8,31,0.0,NO
9,934,0.74,YES
10,180,0.64,NO
11,260,0.33,NO
12,584,0.83,YES
13,40,0.0,NO
14,372,0.51,NO
15,388,0.3,NO
16,51,0.0,NO
17,609,0.78,YES
18,32,0.33,NO
19,66,0.34,NO
20,180,0.54,YES
21,587,0.76,NO
22,164,0.59,NO
23,50,0.12,NO
24,27,0.0,NO
25,938,0.63,NO
26,60,0.8886031746031746,NO
27,62,0.28,NO
28,87,0.33,NO
29,52,0.13,NO
30,270,0.69,NO
31,163,0.56,NO
32,109,0.31,NO
33,147,0.16,NO
34,58,0.07,NO
35,44,0.59,NO
36,106,0.35,NO
37,151,0.3,NO
38,352,0.44,YES
39,715,0.78,YES
40,876,0.89,YES
41,356,0.64,YES
42,27,0.08,NO
43,55,0.04875,NO
44,191,0.09,NO
45,90,0.82,NO
46,271,0.52,YES
47,137,0.47,NO
48,79,0.66,NO
49,82,0.4,NO
50,147,0.185,NO
51,422,0.35,YES
52,1030,0.53,YES
53,529,0.81,NO
54,189,0.35,YES
55,167,0.52,YES
56,84,0.12,NO
57,195,0.71,YES
58,374,0.68,YES
59,126,0.24,YES
60,106,0.3425,YES
61,109,0.2125,NO
62,85,0.2,NO
63,236,0.54,NO
64,314,0.57,YES
65,813,0.91,YES
66,27,0.0,NO
67,89,0.81,NO
68,300,0.77,YES
69,166,0.69,NO
70,92,0.63,NO
71,492,0.6,YES
72,93,0.49,NO
73,244,0.27,NO
74,183,0.44,YES
75,250,0.31,NO
76,109,0.53,YES
77,602,0.67,YES
78,565,0.82,YES
79,69,0.53,NO
80,77,0.39,NO
81,97,0.39,NO
82,337,0.57,NO
83,214,0.15,NO
84,79,0.44,NO
85,25,0.0,NO
86,84,0.32,NO
87,34,0.0,NO
88,33,0.3,NO
89,104,0.76,NO
90,172,0.54,NO
91,70,0.11,NO
92,140,0.25,NO
93,154,0.18,NO
94,356,0.53,NO
95,248,0.4,NO
96,276,0.71,YES
97,176,0.32,NO
98,637,0.51,YES
99,86,0.25,NO
100,53,0.01,NO
101,132,0.38,YES
102,4088,0.4,NO
103,577,0.87,YES
104,758,0.67,YES
105,101,0.39,NO
106,515,0.86,YES
107,327,0.59,YES
108,273,0.53,YES
109,136,0.29,YES
110,56,0.16,NO
111,74,0.08,YES
112,359,0.59,YES
113,174,0.11,NO
114,148,0.22,NO
115,92,0.54,NO
116,45,0.09,NO
117,168,0.19,NO
118,77,0.78,NO
119,664,0.28,NO
120,88,0.38,NO
121,261,0.63,NO
122,54,0.1,NO
123,51,0.17,YES
124,140,0.29,YES
125,152,0.32,NO
126,39,0.25,NO
127,131,0.095,NO
128,47,0.28,NO
129,129,0.16,NO
130,43,0.87,NO
131,257,0.64,NO
132,62,0.46,NO
133,45,0.09,NO
134,94,0.51,NO
135,72,0.07,NO
136,42,0.0,NO
137,48,0.0,NO
138,89,0.52,NO
139,380,0.4,NO
140,138,0.16,NO
141,142,0.22,NO
142,191,0.43,NO
143,46,0.24,NO
144,165,0.25,NO
145,171,0.4369047619047619,NO
146,56,0.02,NO
147,179,0.08,NO
148,74,0.15,NO
149,36,0.02,NO
150,37,0.0,NO
151,34,0.0,NO
152,34,0.0,NO
153,38,0.03,NO
154,39,0.0,NO
155,156,0.23,NO
156,84,0.29,NO
157,117,0.34,NO
158,94,0.96,NO
159,71,0.4,NO
160,183,0.29,NO
161,85,0.4,NO
162,183,0.17,NO
163,70,0.28,NO
164,54,0.02875,NO
165,160,0.67,NO
166,125,0.13666666666666666,NO
167,151,0.25,NO
168,421,0.35,NO
169,219,0.27,NO
170,50,0.23,NO
171,42,0.0,NO
172,624,0.4,NO
173,377,0.46,NO
174,382,0.49,NO
175,72,0.09,NO
176,92,0.54,NO
177,284,0.27,NO
178,371,0.4,NO
179,47,0.0,NO
180,108,0.41127380952380954,NO
181,111,0.295,NO
182,319,0.35,NO
183,129,0.09,NO
184,49,0.0,NO
185,358,0.38,NO
186,277,0.27,NO
187,49,0.0,NO
188,89,0.75,NO
189,41,0.41,NO
190,66,0.2,NO
191,63,0.43,NO
192,24,0.0,NO
193,50,0.0,NO
194,72,0.22,NO
195,47,0.28,NO
196,47,0.0,NO
197,183,0.06,NO
198,49,0.12,NO
199,50,0.0,NO
200,98,0.22178571428571428,NO
201,143,0.28690476190476194,NO
202,43,0.01,NO
203,42,0.0,NO
204,56,0.1,NO
205,44,0.07,NO
206,26,0.0,NO
207,254,0.3,NO
208,16883,0.46,NO
209,74,0.15,NO
210,153,0.33,NO
211,68,0.18,NO
212,100,0.4952472527472528,NO
213,549,0.37,NO
214,437,0.4,NO
215,1033,0.36,NO
216,101,0.24821428571428572,NO
217,331,0.33,NO
218,123,0.15,NO
219,106,0.81,NO
220,106,0.55,NO
221,93,0.875,NO
222,101,0.3966666666666667,NO
223,38,1.0,NO
224,584,0.41,YES
225,32,0.0,NO
226,111,0.33,NO
227,35,0.0,NO
228,90,0.45,NO
229,27,0.0,NO
230,28,0.0,NO
231,92,0.92,NO
232,907,0.5,NO
233,67,0.34,NO
234,29,0.0,NO
235,105,0.7,NO
236,72,0.13,NO
237,37,0.0,NO
238,47,0.0,NO
239,31,0.0,NO
240,90,0.48,NO
241,223,0.21,NO
242,214,0.07,NO
243,107,0.51,NO
244,37,0.0,NO
245,27,0.0,NO
246,48,0.0,NO
247,166,0.35,NO
248,213,0.07,NO
249,866,0.33,NO
250,159,0.71,NO
251,100,0.67,NO
252,96,0.99,NO
253,841,0.32,NO
254,525,0.54,NO
255,83,0.68,NO
256,63,0.135,NO
257,76,0.21,NO
258,202,0.16,NO
259,155,0.35,NO
260,1262,0.36,NO
261,74,0.02,NO
262,101,0.5947857142857143,NO
263,27,0.0,NO
264,22,0.0,NO
265,489,0.36,NO
266,62,0.2,NO
267,59,0.7338531746031747,NO
268,99,0.5525,NO
269,27,0.0,NO
270,77,0.44,NO
271,862,0.8,NO
272,64,0.105,NO
273,45,0.09,NO
274,63,0.135,NO
275,54,0.02,NO
276,64,0.105,NO
277,132,0.25,NO
278,177,0.41,NO
279,70,0.32,NO
280,36,0.02,NO
281,58,0.02,NO
282,62,0.42,NO
283,132,0.11,NO
284,74,0.04,NO
285,83,0.06,NO
286,74,0.12,NO
287,48,0.0,NO
288,74,0.04,NO
289,86,0.14,NO
290,355,0.38,NO
291,53,0.03,NO
292,798,0.37,NO
293,75,0.15,NO
294,125,0.1594047619047619,NO
295,200,0.05,NO
296,134,0.47,NO
297,57,0.06875,NO
298,123,0.44,NO
299,204,0.19333333333333336,YES
300,162,1.0,NO
301,130,0.18,YES
302,108,0.39,YES
303,353,0.37,YES
304,80,0.63,YES
305,28,0.0,NO
306,57,0.02,NO
307,306,0.3,YES
