InstanceId,PredictedClassProbability,ActualClassLabel,Size
0,0.0,NO,168
1,0.61,NO,228
2,0.53,NO,374
3,0.51,NO,88
4,0.63,NO,289
5,0.45,NO,907
6,0.05866666666666667,NO,21
7,0.58,NO,114
8,0.0,NO,5
9,0.26,NO,730
10,0.04,NO,121
11,0.62,NO,204
12,0.52,NO,368
13,0.0,NO,9
14,0.46,NO,265
15,0.61,NO,323
16,0.0,NO,7
17,0.09,NO,380
18,0.31,NO,8
19,0.12,NO,39
20,0.13,NO,116
21,0.08,NO,364
22,0.61,NO,107
23,0.32,NO,16
24,0.0,NO,4
25,0.48,NO,707
26,0.0,NO,10
27,0.25,NO,29
28,0.55,NO,48
29,0.06,NO,23
30,0.0,NO,158
31,0.18,NO,133
32,0.43,NO,18
33,0.0,NO,83
34,0.16,NO,24
35,0.07,NO,15
36,0.52,NO,60
37,0.0,NO,29
38,0.08,NO,258
39,0.06,NO,237
40,0.38,NO,403
41,0.49,NO,205
42,0.0,NO,30
43,0.15,NO,115
44,0.0,NO,15
45,0.01,NO,183
46,0.29,NO,62
47,0.01,NO,27
48,0.02,NO,39
49,0.02,NO,77
50,0.03,NO,278
51,0.47,NO,565
52,0.27,NO,325
53,0.39,NO,116
54,0.2375,NO,104
55,0.53,NO,52
56,0.17,NO,105
57,0.41,NO,265
58,0.01,NO,83
59,0.25,NO,65
60,0.06,NO,68
61,0.01,NO,47
62,0.06,NO,89
63,0.26,NO,90
64,0.42,NO,241
65,0.0,NO,4
66,0.84,NO,44
67,0.43,NO,181
68,0.09,NO,102
69,0.54,NO,57
70,0.37,NO,306
71,0.79,NO,58
72,0.01,NO,126
73,0.44,NO,49
74,0.57,NO,136
75,0.47,NO,25
76,0.08,NO,474
77,0.61,NO,463
78,0.26,NO,42
79,0.3790476190476191,NO,43
80,0.25,NO,65
81,0.08,NO,285
82,0.14,NO,143
83,0.92,NO,13
84,0.0,NO,4
85,0.08,NO,31
86,0.0,NO,13
87,0.92,NO,12
88,0.0,NO,20
89,0.0,NO,20
90,0.08866666666666667,NO,22
91,0.0,NO,89
