InstanceId,Size,PredictedClassProbability,ActualClassLabel
0,215,0.18,NO
1,271,0.01,YES
2,458,0.12,YES
3,137,0.01,NO
4,357,0.06,NO
5,1243,0.26,YES
6,51,0.0,NO
7,154,0.09,NO
8,31,0.0,NO
9,934,0.53,YES
10,180,0.94,NO
11,260,0.05,NO
12,584,0.76,YES
13,40,0.0,NO
14,372,0.19,NO
15,388,0.11,NO
16,51,0.0,NO
17,609,0.7,YES
18,32,0.1,NO
19,66,0.09,NO
20,180,0.43,YES
21,587,0.69,NO
22,164,0.57,NO
23,50,0.04,NO
24,27,0.0,NO
25,938,0.6,NO
26,60,0.5178095238095237,NO
27,62,0.12,NO
28,87,0.11,NO
29,52,0.01,NO
30,270,0.66,NO
31,163,0.19,NO
32,109,0.57,NO
33,147,0.04,NO
34,58,0.03,NO
35,44,0.51,NO
36,106,0.29,NO
37,151,0.07,NO
38,352,0.19,YES
39,715,0.88,YES
40,876,0.92,YES
41,356,0.48,YES
42,27,0.04,NO
43,55,0.01,NO
44,191,0.0,NO
45,90,0.77,NO
46,271,0.43,YES
47,137,0.56,NO
48,79,0.32,NO
49,82,0.27,NO
50,147,0.06,NO
51,422,0.08,YES
52,1030,0.71,YES
53,529,0.79,NO
54,189,0.04,YES
55,167,0.43,YES
56,84,0.0,NO
57,195,0.41,YES
58,374,0.6,YES
59,126,0.11,YES
60,106,0.08,YES
61,109,0.08,NO
62,85,0.0,NO
63,236,0.27,NO
64,314,0.32,YES
65,813,0.66,YES
66,27,0.0,NO
67,89,0.42,NO
68,300,0.73,YES
69,166,0.67,NO
70,92,0.38,NO
71,492,0.52,YES
72,93,0.31,NO
73,244,0.0,NO
74,183,0.43,YES
75,250,0.01,NO
76,109,0.31,YES
77,602,0.45,YES
78,565,0.38,YES
79,69,0.34,NO
80,77,0.12,NO
81,97,0.36,NO
82,337,0.54,NO
83,214,0.05,NO
84,79,0.17,NO
85,25,0.0,NO
86,84,0.18,NO
87,34,0.0,NO
88,33,0.11,NO
89,104,0.78,NO
90,172,0.29,NO
91,70,0.15,NO
92,140,0.29,NO
93,154,0.24,NO
94,356,0.42,NO
95,248,0.04,NO
96,276,0.55,YES
97,176,0.31,NO
98,637,0.28,YES
99,86,0.18,NO
100,53,0.07,NO
101,132,0.14,YES
102,4088,0.11,NO
103,577,0.62,YES
104,758,0.69,YES
105,101,0.42,NO
106,515,0.8,YES
107,327,0.46,YES
108,273,0.47,YES
109,136,0.01,YES
110,56,0.32,NO
111,74,0.01,YES
112,359,0.36,YES
113,174,0.0,NO
114,148,0.08,NO
115,92,0.21,NO
116,45,0.02,NO
117,168,0.0,NO
118,77,0.51,NO
119,664,0.09,NO
120,88,0.14,NO
121,261,0.55,NO
122,54,0.01,NO
123,51,0.17,YES
124,140,0.42,YES
125,152,0.22,NO
126,39,0.03,NO
127,131,0.01,NO
128,47,0.42,NO
129,129,0.01,NO
130,43,0.75,NO
131,257,0.38,NO
132,62,0.21,NO
133,45,0.02,NO
134,94,0.35,NO
135,72,0.07,NO
136,42,0.0,NO
