InstanceId,Size,PredictedClassProbability,ActualClassLabel
0,215,0.39,NO
1,273,0.82,YES
2,460,0.89,YES
3,138,0.77,NO
4,358,0.96,NO
5,1248,0.9,YES
6,51,0.16,NO
7,157,0.82,NO
8,31,0.02,NO
9,981,0.68,YES
10,180,0.36,NO
11,262,0.84,NO
12,553,0.88,YES
13,40,0.05,NO
14,369,0.91,YES
15,390,0.89,NO
16,51,0.16,NO
17,577,0.67,YES
18,32,0.49,NO
19,66,0.59,NO
20,188,0.75,YES
21,582,0.67,YES
22,160,0.79,YES
23,50,0.33,NO
24,27,0.02,NO
25,923,0.99,YES
26,60,0.96,NO
27,62,0.51,NO
28,87,0.56,NO
29,52,0.38,NO
30,268,0.5,YES
31,163,0.79,NO
32,109,0.7775,NO
33,147,0.39,NO
34,58,0.41,NO
35,44,0.72,NO
36,106,0.7841666666666667,YES
37,139,0.8,NO
38,326,0.63,YES
39,648,0.67,YES
40,792,0.91,YES
41,319,0.88,YES
42,55,0.36,NO
43,191,0.43,NO
44,90,0.93,NO
45,273,0.53,YES
46,137,0.69,NO
47,79,0.87,NO
48,82,0.68,NO
49,147,0.5391666666666667,NO
50,422,0.61,YES
51,979,0.9,YES
52,495,0.88,YES
53,189,0.61,YES
54,167,0.68,YES
55,86,0.74,NO
56,182,0.58,YES
57,361,0.95,YES
58,126,0.56,YES
59,106,0.7971666666666667,NO
60,109,0.7625000000000001,NO
61,85,0.45,NO
62,236,0.63,NO
63,315,0.77,YES
64,695,0.9,YES
65,27,0.02,NO
66,89,0.82,NO
67,301,0.9,YES
68,153,0.57,YES
69,92,0.68,NO
70,466,0.87,YES
71,93,0.77,NO
72,244,0.47,NO
73,192,0.55,YES
74,252,0.73,NO
75,109,0.86,NO
76,601,0.67,YES
77,565,0.95,YES
78,69,0.66,NO
79,77,0.48,NO
80,94,0.67,YES
81,337,0.63,NO
82,214,0.54,NO
83,79,0.55,NO
84,25,0.02,NO
85,84,0.48,NO
86,34,0.06,NO
87,33,0.44,NO
88,104,0.93,NO
89,172,0.77,NO
90,70,0.4,NO
91,140,0.52,NO
92,156,0.87,NO
93,248,0.62,NO
94,277,0.84,YES
95,189,0.95,YES
96,194,0.82,NO
97,346,0.9,NO
98,304,0.71,NO
99,356,0.85,YES
100,84,0.82,NO
101,53,0.33,NO
102,132,0.66,NO
103,4088,0.67,NO
104,691,0.95,YES
105,47,0.54,NO
106,101,0.63,NO
107,510,0.84,YES
108,328,0.96,YES
109,273,0.54,YES
110,136,0.54,NO
111,56,0.42,NO
112,74,0.4,NO
113,359,0.9,YES
114,174,0.36,NO
115,148,0.59,NO
116,92,0.9,NO
117,45,0.2,NO
118,168,0.46,NO
119,77,0.82,NO
120,666,0.87,NO
121,88,0.68,NO
122,262,0.84,NO
123,54,0.31,NO
124,48,0.49,YES
125,140,0.5075,YES
126,152,0.45,NO
127,39,0.58,NO
128,131,0.46666666666666673,NO
129,47,0.52,NO
130,129,0.43,NO
131,43,0.78,NO
132,243,0.47,YES
133,62,0.67,NO
134,45,0.2,NO
135,97,0.88,NO
136,476,0.62,NO
137,77,0.98,NO
138,69,0.51,NO
139,104,0.59,NO
140,115,0.41666666666666674,NO
141,421,0.76,NO
142,61,0.15,NO
143,2009,0.77,NO
144,179,0.42523809523809525,NO
145,106,0.36,NO
146,33,0.07,NO
147,657,0.35,NO
148,295,0.63,NO
149,872,0.41,NO
150,444,0.6,NO
151,168,0.13,NO
152,752,0.38,NO
153,135,0.21,NO
154,1126,0.49,NO
155,163,0.21,NO
156,184,0.4,NO
157,51,0.18,NO
158,25,0.24,NO
159,180,0.27,NO
160,64,0.73,NO
161,101,0.3,NO
162,512,0.8,NO
163,187,0.58,NO
164,56,0.03,NO
165,39,0.01,NO
166,261,0.68,NO
167,73,0.51,NO
168,65,0.67,NO
169,329,0.81,NO
170,64,0.72,NO
171,164,0.17,NO
172,624,0.84,NO
173,74,0.48,NO
174,117,0.21,NO
175,84,0.35,NO
176,226,0.84,NO
177,76,0.76,NO
178,323,0.84,NO
179,72,0.4,NO
180,42,0.05,NO
181,48,0.08,NO
182,89,0.67,NO
183,380,0.62,NO
184,141,0.87,NO
185,148,0.77,NO
186,191,0.7,NO
187,46,0.58,NO
188,165,0.66,NO
189,171,0.6891666666666667,NO
190,56,0.19,NO
191,179,0.35,NO
192,74,0.43,NO
193,36,0.12,NO
194,37,0.1,NO
195,34,0.06,NO
196,34,0.06,NO
197,38,0.2,NO
198,39,0.1,NO
199,156,0.64,NO
200,84,0.37,NO
201,117,0.73,NO
202,94,0.97,NO
203,71,0.63,NO
204,183,0.53,NO
205,85,0.4,NO
206,183,0.58,NO
207,70,0.41,NO
208,54,0.29,NO
209,160,0.73,NO
210,125,0.47,NO
211,151,0.43,NO
212,422,0.85,NO
213,221,0.84,NO
214,50,0.41,NO
215,42,0.05,NO
216,624,0.67,NO
217,377,0.65,NO
218,383,0.63,NO
219,72,0.32,NO
220,92,0.9,NO
221,282,0.83,NO
222,371,0.64,NO
223,47,0.1,NO
224,108,0.768,NO
225,111,0.6696666666666666,NO
226,319,0.62,NO
227,129,0.3875,NO
228,49,0.08,NO
229,358,0.63,NO
230,277,0.53,NO
231,49,0.08,NO
232,89,0.82,NO
233,41,0.6,NO
234,66,0.43,NO
235,63,0.51,NO
236,24,0.02,NO
237,50,0.07,NO
238,72,0.47,NO
239,47,0.52,NO
240,47,0.1,NO
241,183,0.47,NO
242,49,0.42,NO
243,50,0.07,NO
244,98,0.6913333333333334,NO
245,143,0.7441666666666665,NO
246,43,0.06,NO
247,42,0.05,NO
248,56,0.33,NO
249,44,0.2,NO
250,26,0.02,NO
251,254,0.54,NO
252,16883,0.67,NO
253,74,0.43,NO
254,153,0.6,NO
255,68,0.47,NO
