InstanceId,PredictedClassProbability,ActualClassLabel,Size
0,0.45,NO,168
1,0.37,NO,229
2,0.29,NO,375
3,0.41,NO,88
4,0.42,NO,289
5,0.71,NO,917
6,0.07,NO,21
7,0.13,NO,19
8,0.44,NO,114
9,0.0,NO,5
10,0.84,NO,756
11,0.31,NO,23
12,0.38,NO,123
13,0.31,NO,21
14,0.7,NO,55
15,0.2,NO,34
16,0.65,NO,204
17,0.4,NO,45
18,0.89,NO,583
19,0.06,NO,9
20,0.55,NO,280
21,0.35,NO,323
22,0.33,NO,7
23,0.72,NO,427
24,0.36,NO,8
25,0.32,NO,38
26,0.67,NO,346
27,0.9,NO,435
28,0.62,NO,206
29,0.76,NO,559
30,0.36,NO,150
31,0.0,NO,7
32,0.39,NO,16
33,0.0,NO,4
34,0.59,NO,111
35,0.04,NO,8
36,0.32,NO,29
37,0.55,NO,48
38,0.32,NO,23
39,0.47,NO,214
40,0.49,NO,169
41,0.51,NO,19
42,0.23,NO,47
43,0.16,NO,83
44,0.29,NO,24
45,0.45,NO,15
46,0.7,NO,57
47,0.44,NO,129
48,0.5,NO,32
49,0.57,NO,278
50,0.74,NO,386
51,0.83,NO,460
52,0.54,NO,16
53,0.56,NO,217
54,0.3,NO,4
55,0.08,NO,30
56,0.55,NO,61
57,0.75,NO,115
58,0.47,NO,15
59,0.58,NO,17
60,0.39,NO,181
61,0.73,NO,77
62,0.4,NO,38
63,0.39,NO,39
64,0.5,NO,77
65,0.57,NO,278
66,0.77,NO,617
67,0.76,NO,350
68,0.48,NO,131
69,0.51,NO,127
70,0.28,NO,52
71,0.63,NO,127
72,0.76,NO,298
73,0.51,NO,417
74,0.42,NO,83
75,0.66,NO,119
76,0.61,NO,68
77,0.06,NO,47
78,0.72,NO,90
79,0.77,NO,136
80,0.52,NO,8
81,0.74,NO,395
82,0.0,NO,4
83,0.13,NO,44
84,0.75,NO,329
85,0.39,NO,111
86,0.4,NO,57
87,0.49,NO,319
88,0.46,NO,58
89,0.4,NO,126
90,0.51,NO,46
91,0.44,NO,136
92,0.45,NO,25
93,0.66,NO,485
94,0.72,NO,462
95,0.04,NO,42
96,0.25,NO,43
97,0.23,NO,66
98,0.47,NO,290
99,0.34,NO,143
100,0.26,NO,13
101,0.52,NO,4
102,0.25,NO,31
103,0.45,NO,13
104,0.37,NO,12
105,0.2,NO,20
106,0.3,NO,20
107,0.39,NO,22
108,0.34,NO,89
109,0.29,NO,108
110,0.27,NO,51
111,0.25,NO,71
112,0.49,NO,6
113,0.34,NO,8
114,0.29,NO,22
115,0.46,NO,564
116,0.28,NO,12
117,0.44,NO,94
118,0.35,NO,135
119,0.37,NO,7
120,0.25,NO,143
121,0.86,NO,249
122,0.71,NO,150
123,0.72,NO,151
124,0.59,NO,197
125,0.41,NO,56
126,0.81,NO,261
127,0.59,NO,266
128,0.12875,NO,50
129,0.0,NO,9
130,0.47,NO,63
131,0.47,NO,3670
132,0.86,NO,638
133,0.21,NO,23
134,0.24,NO,68
135,0.84,NO,409
136,0.57,NO,212
137,0.4,NO,202
138,0.3,NO,95
139,0.28,NO,20
140,0.38,NO,33
141,0.68,NO,279
142,0.38,NO,104
143,0.35,NO,84
144,0.32,NO,39
145,0.2,NO,16
146,0.25,NO,19
147,0.41,NO,101
148,0.21,NO,30
149,0.41,NO,396
150,0.55,NO,40
