InstanceId,Size,PredictedClassProbability,ActualClassLabel
0,215,0.01,215
1,273,0.22,273
2,460,0.36,460
3,138,0.11,138
4,358,0.44,358
5,1248,0.44,1248
6,51,0.0,51
7,157,0.28,157
8,31,0.0,31
9,981,0.19,981
10,180,0.0,180
11,262,0.5,262
12,553,0.33,553
13,40,0.0,40
14,369,0.48,369
15,390,0.32,390
16,51,0.0,51
17,577,0.11,577
18,32,0.12,32
19,66,0.04,66
20,188,0.09,188
21,582,0.12,582
22,160,0.21,160
23,50,0.07,50
24,27,0.0,27
25,923,0.47,923
26,60,0.442,60
27,62,0.16,62
28,87,0.15,87
29,52,0.0,52
30,268,0.02,268
31,163,0.11,163
32,109,0.23,109
33,147,0.02,147
34,58,0.0,58
35,44,0.22,44
36,106,0.3413333333333333,106
37,139,0.2,139
38,326,0.12,326
39,648,0.12,648
40,792,0.38,792
41,319,0.44,319
42,55,0.0,55
43,191,0.01,191
44,90,0.6,90
45,273,0.02,273
46,137,0.13,137
47,79,0.2,79
48,82,0.18,82
49,147,0.06,147
50,422,0.19,422
51,979,0.36,979
52,495,0.25,495
53,189,0.04,189
54,167,0.15,167
55,86,0.11,86
56,182,0.03,182
57,361,0.24,361
58,126,0.0,126
59,106,0.3313333333333333,106
60,109,0.085,109
61,85,0.0,85
62,236,0.29,236
63,315,0.24,315
64,695,0.36,695
65,27,0.0,27
66,89,0.44183333333333336,89
67,301,0.38,301
68,153,0.03,153
69,92,0.20333333333333337,92
70,466,0.37,466
71,93,0.28,93
72,244,0.04,244
73,192,0.21,192
74,252,0.23,252
75,109,0.31,109
76,601,0.12,601
77,565,0.48,565
78,69,0.24,69
79,77,0.1,77
80,94,0.17333333333333337,94
81,337,0.12,337
82,214,0.0,214
83,79,0.06,79
84,25,0.0,25
85,84,0.12,84
86,34,0.0,34
87,33,0.11,33
88,104,0.7233333333333333,104
89,172,0.32,172
90,70,0.02,70
91,140,0.01,140
92,156,0.21,156
93,248,0.05,248
94,277,0.19,277
95,189,0.65,189
96,194,0.41,194
97,346,0.47,346
98,304,0.03,304
99,356,0.34,356
100,84,0.27,84
101,53,0.01,53
102,132,0.11,132
103,4088,0.12,4088
104,691,0.58,691
105,47,0.15,47
106,101,0.23,101
107,510,0.38,510
108,328,0.48,328
109,273,0.02,273
110,136,0.04,136
111,56,0.03,56
112,74,0.0,74
113,359,0.42,359
114,174,0.01,174
115,148,0.04,148
116,92,0.12833333333333333,92
117,45,0.01,45
118,168,0.08,168
119,77,0.39,77
120,666,0.4,666
121,88,0.19,88
122,262,0.2,262
123,54,0.0,54
124,48,0.1,48
125,140,0.03,140
126,152,0.03,152
127,39,0.0,39
128,131,0.0,131
129,47,0.1,47
130,129,0.0,129
131,43,0.54,43
132,243,0.04,243
133,62,0.2,62
134,45,0.01,45
135,97,0.47,97
136,476,0.12,476
137,77,0.72,77
138,69,0.05,69
139,104,0.03,104
140,115,0.02,115
141,421,0.16,421
142,61,0.0,61
143,2009,0.34,2009
144,179,0.03,179
145,106,0.0,106
146,33,0.02,33
147,657,0.04,657
148,295,0.07,295
149,872,0.04,872
150,444,0.12,444
151,168,0.01,168
152,752,0.04,752
153,135,0.03,135
154,1126,0.31,1126
155,163,0.03,163
156,184,0.1,184
157,51,0.03,51
158,25,0.06,25
159,180,0.04,180
160,64,0.28,64
161,101,0.01,101
