@relation bookkeeper_Training_4

@attribute LOC numeric
@attribute authors_number numeric
@attribute revisions_number numeric
@attribute touched_loc numeric
@attribute total_add_lines numeric
@attribute average_add_lines numeric
@attribute max_add_lines numeric
@attribute total_churn numeric
@attribute max_churn numeric
@attribute number_fix numeric
@attribute cyclomatic_complexity numeric
@attribute average_churn numeric
@attribute days_between_commits numeric
@attribute buggy {'YES', 'NO'}

@data
137,2,4,333,235,58.75,137,273,137,0,13,68.25,77.00,NO
244,2,5,436,340,68.00,252,268,252,0,26,53.60,57.75,NO
1026,3,14,1466,1246,89.00,545,1122,545,0,126,80.14,18.62,YES
92,3,3,150,121,40.33,81,92,81,0,10,30.67,115.00,YES
180,2,4,210,195,48.75,168,180,168,0,31,45.00,77.00,NO
471,3,9,795,633,70.33,487,663,487,0,67,73.67,30.38,YES
204,3,5,216,210,42.00,124,204,124,0,30,40.80,57.75,YES
551,3,7,691,621,88.71,536,569,536,0,98,81.29,40.33,YES
149,3,5,187,168,33.60,133,149,133,0,15,29.80,58.00,YES
157,3,3,171,164,54.67,151,157,151,0,14,52.33,116.00,YES
147,1,1,147,147,147.00,147,147,147,0,18,147.00,0.00,NO
137,3,5,401,269,53.80,126,311,150,0,1,62.20,60.75,YES
271,3,4,289,280,70.00,249,271,249,0,40,67.75,76.67,NO
548,3,9,1532,1040,115.56,410,1282,614,0,25,142.44,30.38,YES
728,2,6,1134,931,155.17,714,1036,714,0,42,172.67,6.40,YES
205,2,4,219,212,53.00,204,205,204,0,17,51.25,77.00,YES
50,2,2,56,53,26.50,50,50,50,0,1,25.00,158.00,NO
185,3,5,229,207,41.40,184,185,184,0,20,37.00,57.75,YES
61,3,3,71,66,22.00,61,61,61,0,1,20.33,105.00,YES
157,3,8,263,210,26.25,167,185,167,0,6,23.13,34.57,YES
81,3,4,103,92,23.00,80,83,80,0,1,20.75,80.67,NO
84,2,3,182,133,44.33,83,142,83,0,2,47.33,115.50,NO
762,3,12,2162,1462,121.83,547,1678,808,0,50,139.83,22.09,YES
248,3,7,328,288,41.14,198,260,198,0,21,37.14,40.50,YES
169,3,9,295,232,25.78,140,177,140,0,11,19.67,30.25,NO
196,3,6,252,224,37.33,178,198,178,0,15,33.00,46.20,YES
67,3,4,85,76,19.00,67,67,67,0,3,16.75,70.00,NO
165,3,4,199,182,45.50,138,165,138,0,15,41.25,77.00,YES
173,3,4,213,193,48.25,170,173,170,0,13,43.25,77.00,YES
103,2,6,151,127,21.17,101,115,101,0,11,19.17,22.40,YES
78,1,1,78,78,78.00,78,78,78,0,6,78.00,0.00,YES
87,2,2,89,88,44.00,87,87,87,0,6,43.50,158.00,YES
85,2,2,87,86,43.00,85,85,85,0,4,42.50,158.00,NO
105,1,2,107,106,53.00,61,105,61,0,2,52.50,10.00,YES
216,2,4,232,224,56.00,216,216,216,0,1,54.00,4.00,YES
377,2,4,417,397,99.25,377,377,377,0,6,94.25,4.00,YES
253,1,2,257,255,127.50,251,253,251,0,20,126.50,1.00,YES
193,1,1,193,193,193.00,193,193,193,0,13,193.00,0.00,YES
514,1,1,514,514,514.00,514,514,514,0,41,514.00,0.00,YES
204,1,1,204,204,204.00,204,204,204,0,21,204.00,0.00,NO
144,1,1,144,144,144.00,144,144,144,0,2,144.00,0.00,YES
