Iteration,TrainingPercent,ClassifierName,FeatureSelection,Balancing,CostSensitive,Precision,Recall,AUC,Kappa,F1,TP,FP,TN,FN,Cost
1,45.25547445255474,IBk,none,none,none,0.2,0.06666666666666667,0.5,0.0,0.1,1.0,4.0,56.0,14.0,144.0
1,45.25547445255474,RandomForest,none,none,none,0.0,0.0,0.6633333333333333,0.0,0.0,0.0,0.0,60.0,15.0,150.0
1,45.25547445255474,NaiveBayes,none,none,none,1.0,0.06666666666666667,0.6172222222222222,0.10256410256410249,0.125,1.0,0.0,60.0,14.0,140.0
1,45.25547445255474,IBk,Best First,none,none,0.29411764705882354,0.3333333333333333,0.57,0.1269841269841269,0.3125,5.0,12.0,48.0,10.0,112.0
1,45.25547445255474,RandomForest,Best First,none,none,0.3333333333333333,0.4,0.5361111111111111,0.18604651162790684,0.3636363636363636,6.0,12.0,48.0,9.0,102.0
1,45.25547445255474,NaiveBayes,Best First,none,none,0.0,0.0,0.585,0.0,0.0,0.0,0.0,60.0,15.0,150.0
1,45.25547445255474,IBk,none,none,Sensitive Threshold,0.2,0.06666666666666667,0.5,0.0,0.1,1.0,4.0,56.0,14.0,144.0
1,45.25547445255474,RandomForest,none,none,Sensitive Threshold,0.0,0.0,0.6788888888888889,-0.11111111111111137,0.0,0.0,5.0,55.0,15.0,155.0
1,45.25547445255474,NaiveBayes,none,none,Sensitive Threshold,0.7142857142857143,0.3333333333333333,0.6172222222222222,0.3749999999999999,0.4545454545454545,5.0,2.0,58.0,10.0,102.0
1,45.25547445255474,IBk,Best First,none,Sensitive Threshold,0.29411764705882354,0.3333333333333333,0.57,0.1269841269841269,0.3125,5.0,12.0,48.0,10.0,112.0
1,45.25547445255474,RandomForest,Best First,none,Sensitive Threshold,0.21875,0.4666666666666667,0.5122222222222222,0.03508771929824565,0.2978723404255319,7.0,25.0,35.0,8.0,105.0
1,45.25547445255474,NaiveBayes,Best First,none,Sensitive Threshold,0.2,1.0,0.585,0.0,0.33333333333333337,15.0,60.0,0.0,0.0,60.0
1,45.25547445255474,IBk,none,SMOTE,none,0.3333333333333333,0.13333333333333333,0.5333333333333333,0.08602150537634401,0.19047619047619044,2.0,4.0,56.0,13.0,134.0
1,45.25547445255474,RandomForest,none,SMOTE,none,0.0,0.0,0.6922222222222222,-0.0714285714285715,0.0,0.0,3.0,57.0,15.0,153.0
1,45.25547445255474,NaiveBayes,none,SMOTE,none,0.5,0.13333333333333333,0.6994444444444444,0.13793103448275876,0.2105263157894737,2.0,2.0,58.0,13.0,132.0
1,45.25547445255474,IBk,Best First,SMOTE,none,0.3333333333333333,0.13333333333333333,0.5405555555555556,0.08602150537634401,0.19047619047619044,2.0,4.0,56.0,13.0,134.0
