Iteration,TrainingPercent,ClassifierName,FeatureSelection,Balancing,CostSensitive,Precision,Recall,AUC,Kappa,F1,TP,FP,TN,FN,Cost,Filename,Npofb20
1,45.25547445255474,IBk,none,none,none,0.2,0.0666666666666666,0.5,0.0,0.1,1.0,4.0,56.0,14.0,144.0,AVRO_IBk__1.csv,0.3571428571428571
1,45.25547445255474,RandomForest,none,none,none,0.0,0.0,0.6633333333333333,0.0,0.0,0.0,0.0,60.0,15.0,150.0,AVRO_RandomForest__1.csv,0.5714285714285714
1,45.25547445255474,NaiveBayes,none,none,none,1.0,0.0666666666666666,0.6172222222222222,0.1025641025641024,0.125,1.0,0.0,60.0,14.0,140.0,AVRO_NaiveBayes__1.csv,0.3333333333333333
1,45.25547445255474,IBk,Best First,none,none,0.2941176470588235,0.3333333333333333,0.57,0.1269841269841269,0.3125,5.0,12.0,48.0,10.0,112.0,AVRO_IBk_BestFirst_1.csv,0.2857142857142857
1,45.25547445255474,RandomForest,Best First,none,none,0.3333333333333333,0.4,0.5361111111111111,0.1860465116279068,0.3636363636363636,6.0,12.0,48.0,9.0,102.0,AVRO_RandomForest_BestFirst_1.csv,0.2666666666666666
1,45.25547445255474,NaiveBayes,Best First,none,none,0.0,0.0,0.585,0.0,0.0,0.0,0.0,60.0,15.0,150.0,AVRO_NaiveBayes_BestFirst_1.csv,0.4
1,45.25547445255474,IBk,none,none,Sensitive Threshold,0.2,0.0666666666666666,0.5,0.0,0.1,1.0,4.0,56.0,14.0,144.0,AVRO_IBk_SensitiveThreshold_1.csv,0.3571428571428571
1,45.25547445255474,RandomForest,none,none,Sensitive Threshold,0.0,0.0,0.6788888888888889,-0.1111111111111113,0.0,0.0,5.0,55.0,15.0,155.0,AVRO_RandomForest_SensitiveThreshold_1.csv,0.4666666666666667
1,45.25547445255474,NaiveBayes,none,none,Sensitive Threshold,0.7142857142857143,0.3333333333333333,0.6172222222222222,0.3749999999999999,0.4545454545454545,5.0,2.0,58.0,10.0,102.0,AVRO_NaiveBayes_SensitiveThreshold_1.csv,0.4
1,45.25547445255474,IBk,Best First,none,Sensitive Threshold,0.2941176470588235,0.3333333333333333,0.57,0.1269841269841269,0.3125,5.0,12.0,48.0,10.0,112.0,AVRO_IBk_BestFirst_SensitiveThreshold_1.csv,0.2857142857142857
