Iteration,TrainingPercent,ClassifierName,FeatureSelection,Balancing,CostSensitive,Precision,Recall,AUC,Kappa,F1,TP,FP,TN,FN,Cost,Filename,Npofb20
1,40.32846715328467,IBk,none,none,none,0.0901639344262295,0.6111111111111112,0.633495145631068,0.0677007828356044,0.1571428571428571,11.0,111.0,198.0,7.0,181.0,BOOKKEEPER_IBk__1.csv,0.2777777777777778
1,40.32846715328467,RandomForest,none,none,none,0.1739130434782608,0.4444444444444444,0.7808342322905429,0.1855541718555419,0.25,8.0,38.0,271.0,10.0,138.0,BOOKKEEPER_RandomForest__1.csv,0.2222222222222222
1,40.32846715328467,NaiveBayes,none,none,none,0.0569620253164556,1.0,0.8052858683926645,0.0040473416324277,0.1077844311377245,18.0,298.0,11.0,0.0,298.0,BOOKKEEPER_NaiveBayes__1.csv,0.2222222222222222
1,40.32846715328467,IBk,Best First,none,none,0.0839694656488549,0.6111111111111112,0.6183926645091694,0.0563092235326195,0.1476510067114094,11.0,120.0,189.0,7.0,190.0,BOOKKEEPER_IBk_BestFirst_1.csv,0.2777777777777778
1,40.32846715328467,RandomForest,Best First,none,none,0.1097560975609756,0.5,0.7838007910823445,0.0986284792254943,0.18,9.0,73.0,236.0,9.0,163.0,BOOKKEEPER_RandomForest_BestFirst_1.csv,0.3333333333333333
1,40.32846715328467,NaiveBayes,Best First,none,none,0.1509433962264151,0.4444444444444444,0.8039374325782093,0.1559904265803182,0.2253521126760563,8.0,45.0,264.0,10.0,145.0,BOOKKEEPER_NaiveBayes_BestFirst_1.csv,0.2777777777777778
1,40.32846715328467,IBk,none,none,Sensitive Threshold,0.0901639344262295,0.6111111111111112,0.633495145631068,0.0677007828356044,0.1571428571428571,11.0,111.0,198.0,7.0,181.0,BOOKKEEPER_IBk_SensitiveThreshold_1.csv,0.2777777777777778
1,40.32846715328467,RandomForest,none,none,Sensitive Threshold,0.131578947368421,0.5555555555555556,0.7987234807623157,0.1358474394686092,0.2127659574468085,10.0,66.0,243.0,8.0,146.0,BOOKKEEPER_RandomForest_SensitiveThreshold_1.csv,0.3888888888888889
1,40.32846715328467,NaiveBayes,none,none,Sensitive Threshold,0.0564263322884012,1.0,0.8051959726717008,0.0029174897432001,0.1068249258160237,18.0,301.0,8.0,0.0,301.0,BOOKKEEPER_NaiveBayes_SensitiveThreshold_1.csv,0.2777777777777778
1,40.32846715328467,IBk,Best First,none,Sensitive Threshold,0.0839694656488549,0.6111111111111112,0.6183926645091694,0.0563092235326195,0.1476510067114094,11.0,120.0,189.0,7.0,190.0,BOOKKEEPER_IBk_BestFirst_SensitiveThreshold_1.csv,0.2777777777777778
1,40.32846715328467,RandomForest,Best First,none,Sensitive Threshold,0.1368421052631579,0.7222222222222222,0.7930600503416038,0.151561241835913,0.2300884955752212,13.0,82.0,227.0,5.0,132.0,BOOKKEEPER_RandomForest_BestFirst_SensitiveThreshold_1.csv,0.3888888888888889
1,40.32846715328467,NaiveBayes,Best First,none,Sensitive Threshold,0.0841121495327102,1.0,0.8039374325782093,0.0596830985915493,0.1551724137931034,18.0,196.0,113.0,0.0,196.0,BOOKKEEPER_NaiveBayes_BestFirst_SensitiveThreshold_1.csv,0.2777777777777778
1,40.32846715328467,IBk,none,SMOTE,none,0.0992907801418439,0.7777777777777778,0.6877022653721683,0.0869620819745508,0.1761006289308176,14.0,127.0,182.0,4.0,167.0,BOOKKEEPER_IBk_SMOTE_1.csv,0.3333333333333333
1,40.32846715328467,RandomForest,none,SMOTE,none,0.1333333333333333,0.5555555555555556,0.7844300611290903,0.1385731298040486,0.2150537634408602,10.0,65.0,244.0,8.0,145.0,BOOKKEEPER_RandomForest_SMOTE_1.csv,0.3888888888888889
1,40.32846715328467,NaiveBayes,none,SMOTE,none,0.0571428571428571,1.0,0.7993527508090615,0.0044284528092997,0.1081081081081081,18.0,297.0,12.0,0.0,297.0,BOOKKEEPER_NaiveBayes_SMOTE_1.csv,0.2777777777777778
1,40.32846715328467,IBk,Best First,SMOTE,none,0.0972222222222222,0.7777777777777778,0.6810499820208558,0.0831136220966729,0.1728395061728395,14.0,130.0,179.0,4.0,170.0,BOOKKEEPER_IBk_BestFirst_SMOTE_1.csv,0.3333333333333333
1,40.32846715328467,RandomForest,Best First,SMOTE,none,0.1263157894736842,0.6666666666666666,0.7561129090255304,0.132056902567773,0.2123893805309734,12.0,83.0,226.0,6.0,143.0,BOOKKEEPER_RandomForest_BestFirst_SMOTE_1.csv,0.3333333333333333
